model,epoch,train_loss,val_loss
persistence,0,,0.08125965669751167
mlp,1,0.49262499809265137,0.4610670655965805
mlp,2,0.3743560016155243,0.33295273780822754
mlp,3,0.17586806043982506,0.14440329372882843
mlp,4,0.0755607324341933,0.06286914087831974
mlp,5,0.06745180798073609,0.054464831948280334
mlp,6,0.059322631607453026,0.05455285869538784
mlp,7,0.04656931944191456,0.06045946851372719
mlp,8,0.03953167920311292,0.062446484342217445
mlp,9,0.03591600557168325,0.06004022993147373
mlp,10,0.03377029579132795,0.056071409955620766
mlp,11,0.0320327098791798,0.05421247333288193
mlp,12,0.0304322208588322,0.05321241170167923
mlp,13,0.02882128270963828,0.05222035013139248
mlp,14,0.027408265819152195,0.04920561797916889
mlp,15,0.02564168193687995,0.04775121808052063
mlp,16,0.023916745247940224,0.04592990316450596
mlp,17,0.02231690815339486,0.04376797191798687
mlp,18,0.02055897501607736,0.04242856055498123
mlp,19,0.019168441804746788,0.04117645137012005
mlp,20,0.017925217437247436,0.03953695669770241
mlp,21,0.016869848904510338,0.038508523255586624
mlp,22,0.015907694740841787,0.03732565976679325
mlp,23,0.015205392924447855,0.03664159122854471
mlp,24,0.014173680450767279,0.03635784052312374
mlp,25,0.013390427144865194,0.03462520334869623
mlp,26,0.012844544990609089,0.03450615704059601
mlp,27,0.01205280190333724,0.033318936824798584
mlp,28,0.01150336085508267,0.033076279796659946
mlp,29,0.010908453414837519,0.03228589706122875
mlp,30,0.010684483995040258,0.03180160839110613
mlp,31,0.010249269971003136,0.031249810941517353
mlp,32,0.009879937395453453,0.031411304138600826
mlp,33,0.009806219255551696,0.030529603362083435
mlp,34,0.009234821734329065,0.030605767853558064
mlp,35,0.009011852632587155,0.030011656694114208
mlp,36,0.008653274892518917,0.030230836011469364
mlp,37,0.008486031632249555,0.029447060078382492
mlp,38,0.008216622130324444,0.029851560480892658
mlp,39,0.008087695188199481,0.0291903642937541
mlp,40,0.008063558954745531,0.02934062574058771
mlp,41,0.007711942618091901,0.02901097573339939
mlp,42,0.00757493288256228,0.028942042030394077
mlp,43,0.007290154850731294,0.02922448143362999
