model,mse,rmse,mae,count_mae,hit_at_k,precision_at_k,recall_at_k,centroid_error_m
persistence,0.15653935074806213,0.3956505411952095,0.14091435074806213,25.08333396911621,0.75,0.20000000000000004,0.20000000000000004,784.3777861836396
mlp,0.31019264459609985,0.5569494093686606,0.4201153516769409,103.593505859375,0.5833333333333334,0.13333333333333333,0.13333333333333333,373.91979499041395
cnn,0.05409255996346474,0.2325780728346177,0.14793552458286285,29.915056228637695,1.0,0.35000000000000003,0.35000000000000003,186.41080665669435
gru,0.1285669356584549,0.3585623176777712,0.17560888826847076,18.98655891418457,0.5833333333333334,0.15,0.15,289.6808191829779
