sim_time_s,pdet,rmse_m,energy_j,jscore,uav0_energy_j,uav1_energy_j,uav2_energy_j,uav3_energy_j,uav0_eprop_j,uav1_eprop_j,uav2_eprop_j,uav3_eprop_j,uav0_erf_j,uav1_erf_j,uav2_erf_j,uav3_erf_j,uav0_eproc_j,uav1_eproc_j,uav2_eproc_j,uav3_eproc_j,avg_throughput_mbps,avg_delay_ms,avg_loss_pct,survSenseDt,patSenseDt,rapidSenseDt,stratSenseDt,survTargetSpeed,patTargetSpeed,rapidTargetSpeed,stratTargetSpeed,survTargetAltitude,patTargetAltitude,rapidTargetAltitude,stratTargetAltitude,survDt,patDt,rapidDt,stratDt
10,0.379911,7.07882,10431.1,1.15537,2392.41,2550.68,3064.02,2424,2390.2,2548.6,3062.04,2421.99,1.79574,1.79574,1.79574,1.79574,0.42,0.285,0.19,0.215,0.0007104,11.5608,0,1,1,1,1,14.4634,19.4283,33.6009,14.4961,60,80,100,120,2,1.5,1,1.2
20,0.586875,7.90311,22351.8,2.30998,5075.64,5499.76,6751.66,5024.73,5070.81,5495.19,6747.27,5020.49,3.791,3.791,3.791,3.791,1.035,0.78,0.595,0.45,0.00112,12.0754,0,1,1,1,1,14.4634,19.4283,34.6009,14.4961,60,80,100,120,2,1.5,1,1.2
30,0.665625,9.15099,34260.9,2.17143,7708.08,8403.6,10472.9,7676.22,7700.76,8396.63,10466.2,7669.79,5.78626,5.78626,5.78626,5.78626,1.535,1.185,0.91,0.645,0.0009056,11.4757,0,1,1,1,1,15.4634,19.4283,34.6009,14.4961,60,80,100,120,2,1.5,1,1.2
