model,accuracy,macro_f1,weighted_f1,inference_ms_per_sample
random_forest,0.9439655172413793,0.9391400341364449,0.9439269863206117,0.06517975714228962
decision_tree,0.9367816091954023,0.9310555584701238,0.9368856550649474,0.0012518491645493468
xgboost,0.9353448275862069,0.9275459323473454,0.9346017053154733,0.03346518823146371
gradient_boosting,0.9295977011494253,0.9205659075224292,0.9288302277432711,0.014905497162795529
neural_network,0.9295977011494253,0.9212569401046483,0.9289065498798003,0.00429856467151736
