Time,UeGroup,UeIndex,UeNodeId,Imsi,ServingCell,ServingRsrpDbm,BestFeasibleTnRsrpDbm,BestFeasibleUavRsrpDbm,ServiceState,StateAgeSec,SensedOrOraclePositionAvailable,ControllerEastM,ControllerNorthM,IncludedInMovementTarget
12,UES1,57,64,64,4,-79.7632,-73.4729,-90.1556,SERVED,0,1,-98.894724,64.559958,0
12,UES1,58,65,65,4,-62.9329,-78.4514,-94.3663,SERVED,0,1,-89.051767,-78.506312,0
12,UES1,59,66,66,1,-74.2375,-93.0101,-83.4289,SERVED,0,1,117.186086,-98.482245,0
12,UES2,0,67,67,2,-121.066,-115.314,-119.379,PERSISTING,0,1,-362.092032,318.570851,0
12,UES2,1,68,68,1,-115.095,-115.788,-117.099,PERSISTING,0,1,316.537028,383.773944,0
12,UES2,2,69,69,2,-115.485,-88.8521,-119.412,ALTERNATIVE_AVAILABLE,0,1,394.792102,-320.792905,0
12,UES2,3,70,70,4,-106.768,-95.4653,-93.6255,ALTERNATIVE_AVAILABLE,0,1,-309.620658,340.750293,0
12,UES2,4,71,71,0,NA,-121.047,-125.825,UNKNOWN,0,1,362.271030,380.716610,0
12,UES2,5,72,72,7,-112.965,-113.17,-111.855,PERSISTING,0,1,342.615275,-326.256372,0
12,UES2,6,73,73,6,-118.672,-117.241,-119.759,PERSISTING,0,1,-391.327627,344.095310,0
12,UES2,7,74,74,3,-122.696,-118.227,-109.744,PERSISTING,0,1,445.316277,324.893221,0
12,UES2,8,75,75,0,NA,-122.918,-119.635,UNKNOWN,0,1,320.025075,-354.768647,0
12,UES2,9,76,76,7,-118.351,-112.788,-117.835,PERSISTING,0,1,-365.540681,290.382662,0
12,UES2,10,77,77,1,-116.268,-117.79,-84.0375,ALTERNATIVE_AVAILABLE,0,1,379.718221,363.276391,0
12,UES2,11,78,78,0,NA,-119.752,-118.586,UNKNOWN,0,1,337.554524,-310.231975,0
12,UES2,12,79,79,6,-121.738,-107.742,-114.951,PERSISTING,0,1,-350.798284,289.203513,0
12,UES2,13,80,80,0,NA,-124.219,-128.725,UNKNOWN,0,1,410.306203,358.935798,0
12,UES2,14,81,81,3,-116.56,-88.2791,-114.556,ALTERNATIVE_AVAILABLE,0,1,334.977933,-327.614008,0
12,UES2,15,82,82,2,-121.7,-112.813,-120.348,PERSISTING,0,1,-319.655000,312.193107,0
12,UES2,16,83,83,0,NA,-112.831,-122.573,UNKNOWN,0,1,303.269442,304.713305,0
12,UES2,17,84,84,0,NA,-116.346,-118.809,UNKNOWN,0,1,325.011359,-317.563956,0
12,UES2,18,85,85,4,-120.346,-93.4806,-113.207,ALTERNATIVE_AVAILABLE,0,1,-302.776026,335.961089,0
12,UES2,19,86,86,4,-128.356,-109.654,-113.955,PERSISTING,0,1,349.271602,323.760807,0
12,UES2,20,87,87,0,NA,-118.381,-119.734,UNKNOWN,0,1,327.850197,-374.697416,0
12,UES2,21,88,88,4,-82.8794,-92.0945,-116.166,SERVED,0,1,-350.417667,307.089475,0
12,UES2,22,89,89,2,-113.609,-93.8943,-115.65,ALTERNATIVE_AVAILABLE,0,1,323.397581,344.238980,0
12,UES2,23,90,90,0,NA,-119.75,-120.549,UNKNOWN,0,1,338.531924,-351.927083,0
12,UES2,24,91,91,5,-118.649,-115.518,-115.252,PERSISTING,0,1,-332.462462,396.826471,0
12,UES2,25,92,92,2,-75.6929,-113.612,-115.522,SERVED,0,1,340.673635,303.895712,0
12,UES2,26,93,93,7,-110.941,-117.185,-112.853,PERSISTING,0,1,346.455676,-421.677696,0
12,UES2,27,94,94,0,NA,-117.933,-102.274,UNKNOWN,0,1,-374.599441,336.110686,0
12,UES2,28,95,95,0,NA,-111.384,-119.382,UNKNOWN,0,1,328.346728,259.010435,0
12,UES2,29,96,96,4,-119.647,-79.0183,-119.281,ALTERNATIVE_AVAILABLE,0,1,382.843535,-321.484789,0
12,UES2,30,97,97,5,-115.901,-113.546,-113.91,PERSISTING,0,1,-362.017408,307.536610,0
12,UES2,31,98,98,1,-113.179,-113.81,-114.575,PERSISTING,0,1,301.012155,394.847527,0
