Time,RecordType,UeGroup,UeIndex,UeNodeId,SensorIndex,SensorCellId,PreClassificationUnderserved,Detected,TrueEastM,TrueNorthM,EstimatedEastM,EstimatedNorthM,RangeM,SensingSnrDb,DetectionProbability,PositionSigmaM,NumFusedObservations
12,OBSERVATION,UES1,10,17,1,6,-1,1,-42.3328,-34.992,-41.7388,-33.6052,150.068,41.4571,1,1,0
12,OBSERVATION,UES1,10,17,2,7,-1,1,-42.3328,-34.992,-41.5319,-33.2457,147.349,41.7748,1,1,0
12,FUSED,UES1,10,17,-1,0,-1,1,-42.3328,-34.992,-41.5413,-33.85,nan,42.5838,nan,0.57735,3
12,OBSERVATION,UES1,11,18,0,5,-1,1,25.9119,31.8607,24.3319,33.7173,167.401,39.5583,1,1,0
12,OBSERVATION,UES1,11,18,1,6,-1,1,25.9119,31.8607,25.038,31.8281,124.196,44.7443,1,1,0
12,OBSERVATION,UES1,11,18,2,7,-1,1,25.9119,31.8607,24.7427,32.5787,159.251,40.4254,1,1,0
12,FUSED,UES1,11,18,-1,0,-1,1,25.9119,31.8607,24.7042,32.7081,nan,44.7443,nan,0.57735,3
12,OBSERVATION,UES1,12,19,0,5,-1,1,118.99,-79.4546,119.906,-77.4134,158.523,40.5049,1,1,0
12,OBSERVATION,UES1,12,19,1,6,-1,1,118.99,-79.4546,119.732,-79.2153,196.133,36.8066,1,1,0
12,OBSERVATION,UES1,12,19,2,7,-1,1,118.99,-79.4546,121.394,-77.5729,160.464,40.2935,1,1,0
12,FUSED,UES1,12,19,-1,0,-1,1,118.99,-79.4546,120.344,-78.0672,nan,40.5049,nan,0.57735,3
12,OBSERVATION,UES1,13,20,0,5,-1,1,19.8532,20.4128,19.0449,20.7493,159.223,40.4284,1,1,0
12,OBSERVATION,UES1,13,20,1,6,-1,1,19.8532,20.4128,19.1525,19.0134,124.06,44.7633,1,1,0
12,OBSERVATION,UES1,13,20,2,7,-1,1,19.8532,20.4128,20.0741,20.7197,152.831,41.1402,1,1,0
12,FUSED,UES1,13,20,-1,0,-1,1,19.8532,20.4128,19.4238,20.1608,nan,44.7633,nan,0.57735,3
12,OBSERVATION,UES1,14,21,0,5,-1,1,13.8028,-23.1379,13.6578,-22.5757,134.032,43.4202,1,1,0
12,OBSERVATION,UES1,14,21,1,6,-1,1,13.8028,-23.1379,12.9134,-21.2619,134.422,43.3697,1,1,0
12,OBSERVATION,UES1,14,21,2,7,-1,1,13.8028,-23.1379,14.3259,-21.7226,134.726,43.3306,1,1,0
12,FUSED,UES1,14,21,-1,0,-1,1,13.8028,-23.1379,13.6324,-21.8534,nan,43.4202,nan,0.57735,3
12,OBSERVATION,UES1,15,22,0,5,-1,1,94.7611,36.3351,93.9986,36.6572,188.394,37.5059,1,1,0
12,OBSERVATION,UES1,15,22,1,6,-1,1,94.7611,36.3351,94.4138,35.8614,148.294,41.6637,1,1,0
12,OBSERVATION,UES1,15,22,2,7,-1,1,94.7611,36.3351,96.9587,36.2399,176.535,38.6354,1,1,0
12,FUSED,UES1,15,22,-1,0,-1,1,94.7611,36.3351,95.1237,36.2528,nan,41.6637,nan,0.57735,3
12,OBSERVATION,UES1,16,23,0,5,-1,1,-109.912,-50.4731,-109.351,-49.4742,174.966,38.7904,1,1,0
12,OBSERVATION,UES1,16,23,1,6,-1,1,-109.912,-50.4731,-109.796,-49.558,191.847,37.1904,1,1,0
12,OBSERVATION,UES1,16,23,2,7,-1,1,-109.912,-50.4731,-111.133,-49.9532,186.284,37.7016,1,1,0
12,FUSED,UES1,16,23,-1,0,-1,1,-109.912,-50.4731,-110.093,-49.6618,nan,38.7904,nan,0.57735,3
12,OBSERVATION,UES1,17,24,0,5,-1,1,8.01943,-6.53031,8.2217,-7.17283,142.671,42.3352,1,1,0
12,OBSERVATION,UES1,17,24,1,6,-1,1,8.01943,-6.53031,6.67088,-6.7311,128.863,44.1035,1,1,0
12,OBSERVATION,UES1,17,24,2,7,-1,1,8.01943,-6.53031,7.78397,-6.78981,140.999,42.54,1,1,0
12,FUSED,UES1,17,24,-1,0,-1,1,8.01943,-6.53031,7.55885,-6.89791,nan,44.1035,nan,0.57735,3
12,OBSERVATION,UES1,18,25,0,5,-1,1,18.4688,42.5531,18.3744,40.4451,174.726,38.8143,1,1,0
12,OBSERVATION,UES1,18,25,1,6,-1,1,18.4688,42.5531,19.2231,43.1838,124.267,44.7344,1,1,0
12,OBSERVATION,UES1,18,25,2,7,-1,1,18.4688,42.5531,18.8968,42.8611,165.892,39.7156,1,1,0
12,FUSED,UES1,18,25,-1,0,-1,1,18.4688,42.5531,18.8314,42.1633,nan,44.7344,nan,0.57735,3
12,OBSERVATION,UES1,19,26,0,5,-1,1,-33.1504,-12.522,-32.5393,-12.4408,147.035,41.8118,1,1,0
12,OBSERVATION,UES1,19,26,1,6,-1,1,-33.1504,-12.522,-31.8119,-13.2074,138.481,42.853,1,1,0
12,OBSERVATION,UES1,19,26,2,7,-1,1,-33.1504,-12.522,-33.2205,-12.8479,149.322,41.5437,1,1,0
12,FUSED,UES1,19,26,-1,0,-1,1,-33.1504,-12.522,-32.5239,-12.832,nan,42.853,nan,0.57735,3
12,OBSERVATION,UES1,20,27,0,5,-1,1,-58.2603,71.875,-58.4515,74.0584,209.995,35.6203,1,1,0
12,OBSERVATION,UES1,20,27,1,6,-1,1,-58.2603,71.875,-59.6395,71.5918,148.588,41.6293,1,1,0
12,OBSERVATION,UES1,20,27,2,7,-1,1,-58.2603,71.875,-57.1639,71.6478,203.291,36.1839,1,1,0
