model,accuracy,macro_f1,weighted_f1,inference_ms_per_sample
decision_tree,1.0,1.0,1.0,0.0026732675349680933
gradient_boosting,1.0,1.0,1.0,0.059250503179511936
random_forest,1.0,1.0,1.0,0.23308351592277177
xgboost,0.9936305732484076,0.9942202673126367,0.9936520929537581,0.030579426753887855
