Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,BestDonorDistanceM,XhaulConnected,XhaulChannelVariationDb,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,XhaulDegradationActive,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,UavSwitchingXappAvailable,UavSwitchingXappState,BackhaulMode,RicControlState,ActiveUavRic,NormalUeHandoverAllowed,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode,recent_dl_pdr,recent_dl_delay_ms,recent_dl_throughput_mbps,recent_ul_pdr,recent_ul_delay_ms,recent_ul_throughput_mbps,ResultDir,SeedGroup,ScenarioKind
10.5,tn-uav-satellite,1,6,4,536.326,1,0.0,-53.0298,HEALTHY,6,HEALTHY,0,0,12.1982,7.67759,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,3.96,54.98446666666666,0.00776459,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
10.5,tn-uav-satellite,2,7,2,665.817,1,0.0,-54.9083,HEALTHY,6,HEALTHY,0,0,12.962,8.4414,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,3.96,54.98446666666666,0.00776459,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
12.5,tn-uav-satellite,0,5,1,1428.14,1,0.0,-61.5366,HEALTHY,8,HEALTHY,0,0,12.3939,7.87334,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,2.56,106.52175,0.005019532,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
12.5,tn-uav-satellite,1,6,4,506.195,1,0.0,-52.5276,HEALTHY,8,HEALTHY,0,0,13.4615,8.94093,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,2.56,106.52175,0.005019532,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
12.5,tn-uav-satellite,2,7,2,634.999,1,0.0,-54.4967,HEALTHY,8,HEALTHY,0,0,9.74155,5.22095,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,2.56,106.52175,0.005019532,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
14.5,tn-uav-satellite,0,5,1,1463.35,1,0.0,-61.7482,HEALTHY,10,HEALTHY,0,0,13.0083,8.48769,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,5.44,47.2069,0.0106665,0.307692,58.0304,0.00015686039999999999,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
14.5,tn-uav-satellite,1,6,4,502.982,1,0.0,-52.4722,HEALTHY,10,HEALTHY,0,0,11.4887,6.96813,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,5.44,47.2069,0.0106665,0.307692,58.0304,0.00015686039999999999,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
14.5,tn-uav-satellite,2,7,2,651.343,1,0.0,-54.7174,HEALTHY,10,HEALTHY,0,0,13.6702,9.14959,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,5.44,47.2069,0.0106665,0.307692,58.0304,0.00015686039999999999,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
16.5,tn-uav-satellite,0,5,1,1501.11,1,0.0,-61.9695,HEALTHY,12,HEALTHY,0,0,15.103,10.5824,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,4.36,61.63063999999999,0.008548894199999999,0.1666666,48.0304,7.843019999999999e-05,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
16.5,tn-uav-satellite,1,6,4,520.646,1,0.0,-52.7721,HEALTHY,12,HEALTHY,0,0,10.595,6.07442,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,4.36,61.63063999999999,0.008548894199999999,0.1666666,48.0304,7.843019999999999e-05,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v1-fspl-seed1-sat,seed1,satellite
