model,epoch,train_loss,val_loss
persistence,0,,0.07643712311983109
mlp,1,0.4923979540665944,0.46288077533245087
mlp,2,0.37055933475494385,0.3357636034488678
mlp,3,0.16937593619028726,0.14567891508340836
mlp,4,0.07646726816892624,0.06583642587065697
mlp,5,0.06884502557416756,0.05779138207435608
mlp,6,0.05834787338972092,0.06031298451125622
mlp,7,0.04619907587766647,0.06801910698413849
mlp,8,0.03964175656437874,0.06720568425953388
mlp,9,0.03504287047932545,0.06549514643847942
mlp,10,0.032818042362729706,0.0626226793974638
mlp,11,0.030661327453951042,0.060449251905083656
mlp,12,0.02884580536435048,0.05798277445137501
mlp,13,0.026946178327004116,0.055766332894563675
mlp,14,0.0253267294416825,0.05278356559574604
mlp,15,0.023479561631878216,0.051717158406972885
mlp,16,0.021759298940499622,0.04927359148859978
mlp,17,0.020460033789277077,0.046969618648290634
mlp,18,0.019062109912435215,0.045462554320693016
mlp,19,0.017870931575695675,0.044713374227285385
mlp,20,0.016896980814635754,0.04294329695403576
mlp,21,0.01597077026963234,0.04196042753756046
mlp,22,0.015296278210977713,0.04109938442707062
mlp,23,0.014755699783563614,0.040050895884633064
mlp,24,0.013764410900572935,0.04027929902076721
mlp,25,0.01316988312949737,0.03892076201736927
mlp,26,0.012521730115016302,0.03811059147119522
mlp,27,0.01188051343585054,0.03762458637356758
mlp,28,0.011350478200862804,0.037210285663604736
mlp,29,0.010759317626555761,0.036413720808923244
mlp,30,0.010432821388045946,0.036073409020900726
mlp,31,0.009958795116593441,0.035417317412793636
mlp,32,0.009582589380443096,0.03559574484825134
mlp,33,0.009475099466120204,0.034812853671610355
mlp,34,0.00894586982515951,0.03467546310275793
mlp,35,0.008602680017550787,0.034041580744087696
mlp,36,0.008232506923377514,0.0338968625292182
mlp,37,0.008051490954433879,0.03335031773895025
mlp,38,0.007868495071306825,0.03355780988931656
mlp,39,0.007736172837515672,0.032720823772251606
mlp,40,0.007484689122065902,0.0330115407705307
mlp,41,0.007269918608168761,0.032366545870900154
mlp,42,0.007147644646465778,0.032341619953513145
mlp,43,0.00687264542405804,0.032372450456023216
mlp,44,0.006797007440278928,0.031738719902932644
mlp,45,0.006675650443260868,0.0317064356058836
mlp,46,0.006493912311270833,0.03154503367841244
mlp,47,0.006473647120098273,0.03160745929926634
mlp,48,0.006377827220906814,0.0311912689357996
mlp,49,0.006425648384417097,0.031137488782405853
mlp,50,0.006158437036598722,0.031075975857675076
mlp,51,0.006017709383741021,0.03056435752660036
mlp,52,0.005848067385765414,0.0304879043251276
mlp,53,0.0056552115905409055,0.030956493690609932
mlp,54,0.0056954009147981806,0.030430306680500507
mlp,55,0.005563328508287668,0.03086080029606819
mlp,56,0.005412123243634899,0.030202196910977364
mlp,57,0.005416378068427245,0.030856745317578316
mlp,58,0.005190044020613034,0.029957381077110767
mlp,59,0.00518042454496026,0.029988856986165047
mlp,60,0.00501084669182698,0.029861804097890854
mlp,61,0.004970472965699931,0.030173311941325665
mlp,62,0.004761732493837674,0.03013111650943756
mlp,63,0.004777463890301685,0.02998610958456993
mlp,64,0.004781913865978519,0.02949641551822424
mlp,65,0.0046367319688821835,0.029970631003379822
mlp,66,0.0046895820802698536,0.029474436305463314
mlp,67,0.004554440500214696,0.029819492250680923
mlp,68,0.004425421667595704,0.029294757172465324
mlp,69,0.004366246168501675,0.029900547116994858
mlp,70,0.00435215486989667,0.029404131695628166
mlp,71,0.004179517350470026,0.029233409091830254
mlp,72,0.004279732936993241,0.02961568906903267
mlp,73,0.004283386282622814,0.02899230644106865
mlp,74,0.004469270429884394,0.030108735896646976
mlp,75,0.0041874722034359975,0.029341970570385456
mlp,76,0.00419902215556552,0.029513182118535042
mlp,77,0.004069910656350355,0.028956331312656403
mlp,78,0.003974503488279879,0.02888093702495098
mlp,79,0.003947457182221115,0.02925643604248762
mlp,80,0.003973447911751767,0.029380662366747856
mlp,81,0.004045899569367369,0.0291892196983099
mlp,82,0.003922343021258712,0.02952160593122244
