model,mse,rmse,mae,count_mae,hit_at_k,precision_at_k,recall_at_k,centroid_error_m
persistence,0.16898147761821747,0.4110735671606938,0.15046297013759613,21.5,0.5833333333333334,0.15,0.15,770.3263871023895
mlp,0.25006502866744995,0.5000650244392723,0.3626556396484375,83.49496459960938,0.75,0.18333333333333335,0.18333333333333335,301.26796450281284
cnn,0.05946778878569603,0.24386018286242636,0.15747596323490143,28.470388412475586,1.0,0.4000000000000001,0.4000000000000001,182.85699940232305
gru,0.13996240496635437,0.37411549682732254,0.19975051283836365,24.05919647216797,0.9166666666666666,0.21666666666666667,0.21666666666666667,294.50042985064516
