Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
32.5,tn-uav-satellite,0,5,-1000000000.0,1,12.2026,7.68201,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
32.5,tn-uav-satellite,1,6,-1000000000.0,1,12.2464,7.72583,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
34.5,tn-uav-satellite,0,5,-1000000000.0,1,13.2927,8.77208,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
34.5,tn-uav-satellite,1,6,-1000000000.0,1,8.57721,4.05661,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
34.5,tn-uav-satellite,2,7,-1000000000.0,1,10.7786,6.25804,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
36.5,tn-uav-satellite,0,5,-1000000000.0,1,11.9047,7.38409,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
36.5,tn-uav-satellite,1,6,-1000000000.0,1,13.9846,9.46396,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
36.5,tn-uav-satellite,2,7,-1000000000.0,1,12.0512,7.53062,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
38.5,tn-uav-satellite,1,6,-1000000000.0,1,16.2782,11.7576,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
38.5,tn-uav-satellite,2,7,-1000000000.0,1,14.7723,10.2517,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
38.5,tn-uav-satellite,0,5,-1000000000.0,1,10.7929,6.27229,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
40.5,tn-uav-satellite,0,5,-1000000000.0,1,10.3282,5.80764,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
40.5,tn-uav-satellite,1,6,-1000000000.0,1,11.3574,6.83684,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
40.5,tn-uav-satellite,2,7,-1000000000.0,1,12.6655,8.14488,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
42.5,tn-uav-satellite,0,5,-1000000000.0,1,12.1602,7.6396,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
42.5,tn-uav-satellite,1,6,-1000000000.0,1,11.0988,6.57818,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
42.5,tn-uav-satellite,2,7,-1000000000.0,1,6.78232,2.26172,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
44.5,tn-uav-satellite,0,5,-1000000000.0,1,11.4176,6.897,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
44.5,tn-uav-satellite,1,6,-1000000000.0,1,13.9938,9.47316,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
44.5,tn-uav-satellite,2,7,-1000000000.0,1,8.24147,3.72087,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
46.5,tn-uav-satellite,2,7,-1000000000.0,1,11.2394,6.71877,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
46.5,tn-uav-satellite,1,6,-1000000000.0,1,12.3696,7.84895,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
46.5,tn-uav-satellite,0,5,-1000000000.0,1,13.6615,10.5564,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
48.5,tn-uav-satellite,0,5,-1000000000.0,1,10.4842,5.96358,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
48.5,tn-uav-satellite,1,6,-1000000000.0,1,13.8883,9.3677,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
48.5,tn-uav-satellite,2,7,-1000000000.0,1,11.135,6.61436,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
50.5,tn-uav-satellite,0,5,-1000000000.0,1,12.65,8.12943,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
