Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
4.5,tn-uav-satellite,0,5,-92.6322,HEALTHY,0,HEALTHY,0,10.8803,6.35972,1,TN_DIRECT,TN_DIRECT,True,1
4.5,tn-uav-satellite,1,6,-95.4065,HEALTHY,0,HEALTHY,0,12.5202,7.99964,1,TN_DIRECT,TN_DIRECT,True,1
4.5,tn-uav-satellite,2,7,-98.939,HEALTHY,0,HEALTHY,0,10.3871,5.86649,1,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav-satellite,0,5,-96.3209,HEALTHY,2,HEALTHY,0,12.9127,8.39211,1,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav-satellite,1,6,-100.158,UNREACHABLE,0,HEALTHY,0,9.61084,5.09024,1,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav-satellite,2,7,-101.39,UNREACHABLE,0,HEALTHY,0,14.6747,10.1541,1,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav-satellite,0,5,-91.0601,HEALTHY,4,HEALTHY,0,13.5121,8.99149,1,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav-satellite,1,6,-97.332,HEALTHY,0,HEALTHY,0,12.3968,7.87617,1,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav-satellite,2,7,-95.5561,HEALTHY,0,HEALTHY,0,13.2329,8.71228,1,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav-satellite,2,7,-95.232,HEALTHY,2,HEALTHY,0,7.46556,2.94496,1,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav-satellite,1,6,-94.6015,HEALTHY,2,HEALTHY,0,11.8711,7.35052,1,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav-satellite,0,5,-87.0647,HEALTHY,6,HEALTHY,0,9.46583,4.94523,1,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav-satellite,0,5,-87.7924,HEALTHY,8,HEALTHY,0,9.74353,5.22293,1,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav-satellite,1,6,-97.1126,HEALTHY,4,HEALTHY,0,11.8831,7.3625,1,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav-satellite,2,7,-100.86,UNREACHABLE,0,HEALTHY,0,11.749,7.2284,1,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav-satellite,0,5,-87.4159,HEALTHY,10,HEALTHY,0,13.2522,8.73157,1,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav-satellite,1,6,-98.3659,HEALTHY,6,HEALTHY,0,10.2335,5.71288,1,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav-satellite,2,7,-99.8534,HEALTHY,0,HEALTHY,0,11.4562,6.93561,1,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav-satellite,0,5,-84.1798,HEALTHY,12,HEALTHY,0,13.5615,9.04091,1,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav-satellite,1,6,-99.7567,HEALTHY,8,HEALTHY,0,12.4584,7.93784,1,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav-satellite,2,7,-93.9382,HEALTHY,2,HEALTHY,0,12.9929,8.47225,1,TN_DIRECT,TN_DIRECT,True,1
