sim_time_s,pdet,rmse_m,energy_j,jscore,uav0_energy_j,uav1_energy_j,uav2_energy_j,uav3_energy_j,uav0_eprop_j,uav1_eprop_j,uav2_eprop_j,uav3_eprop_j,uav0_erf_j,uav1_erf_j,uav2_erf_j,uav3_erf_j,uav0_eproc_j,uav1_eproc_j,uav2_eproc_j,uav3_eproc_j,avg_throughput_mbps,avg_delay_ms,avg_loss_pct,survSenseDt,patSenseDt,rapidSenseDt,stratSenseDt,survTargetSpeed,patTargetSpeed,rapidTargetSpeed,stratTargetSpeed,survTargetAltitude,patTargetAltitude,rapidTargetAltitude,stratTargetAltitude,survDt,patDt,rapidDt,stratDt
10,0.429464,7.0562,9999.27,1.38398,2359.93,2539.79,2612.83,2486.72,2357.71,2537.59,2610.8,2484.77,1.79574,1.79574,1.79574,1.79574,0.425,0.405,0.235,0.155,0.0007808,12.104,0,1,1,1,1,11.288,19.1352,21.362,18.8236,60,80,100,120,2,1.5,1,1.2
20,0.54875,7.982,20496.4,1.92724,4938.9,5049.19,5510.28,4998.01,4934.21,5044.56,5505.82,4993.94,3.791,3.791,3.791,3.791,0.895,0.84,0.675,0.285,0.000944,12.0575,0,1,1,1,1,11.288,19.1352,21.362,18.8236,60,85,100,120,2,1.5,1,1.2
30,0.704762,9.47417,31375.6,2.19437,7531.25,7790.59,8452.7,7601.02,7524.1,7783.67,8445.74,7594.83,5.78626,5.78626,5.78626,5.78626,1.36,1.135,1.17,0.4,0.0008768,12.0702,0,0.9,1,1,1,11.288,19.1352,21.362,18.8236,60,85,100,120,2,1.5,1,1.2
40,0.7625,11.0041,42640.6,2.65354,10114.7,10706.3,11406.1,10413.5,10104.9,10697,11396.6,10405.1,7.78152,7.78152,7.78152,7.78152,2.03,1.49,1.73,0.59,0.001136,12.0871,0,0.9,1.1,1,1,11.288,19.1352,21.362,18.8236,60,85,100,120,2,1.5,1,1.2
50,0.794512,12.4566,53725.7,2.83258,12721.9,13572.8,14164.3,13266.7,12709.2,13560.9,14152.6,13256.1,9.77679,9.77679,9.77679,9.77679,2.95,2.1,1.945,0.8,0.0012512,11.9464,0,0.9,1.1,1,1,11.288,19.1352,22.362,18.8236,60,85,100,120,2,1.5,1,1.2
60,0.916159,13.2009,65014.7,3.17178,15292.2,16475.8,17134.8,16112,15276.7,16461.4,17120.7,16099.1,11.772,11.772,11.772,11.772,3.695,2.57,2.36,1.165,0.0012768,12.2367,0,0.9,1.1,1,0.9,11.288,19.1352,22.362,18.8236,60,85,100,120,2,1.5,1,1.2
70,0.925305,15.8656,76239.9,2.6604,17849.3,19332.5,20132.3,18925.8,17831.3,19315.9,20115.9,18910.3,13.7673,13.7673,13.7673,13.7673,4.21,2.825,2.685,1.68,0.0010304,12.068,0,0.9,1.1,1,0.9,12.288,19.1352,22.362,18.8236,60,85,100,120,2,1.5,1,1.2
80,0.941667,18.7945,87390.5,2.3453,20383.3,22161.3,23041.5,21804.3,20363.1,22142.5,23022.7,21786.3,15.7626,15.7626,15.7626,15.7626,4.495,3.13,3.05,2.165,0.0009216,12.1825,0,0.9,1,1,0.9,12.288,19.1352,22.362,18.8236,60,85,100,120,2,1.5,1,1.2
90,0.959821,22.06,98515.4,1.81184,22998.7,25013.2,26075.4,24428.1,22976.2,24992,26054.4,24407.9,17.7578,17.7578,17.7578,17.7578,4.75,3.44,3.26,2.445,0.0006752,12.1951,0,0.9,1,1.1,0.9,12.288,19.1352,22.362,18.8236,60,85,100,120,2,1.5,1,1.2
100,0.983437,25.0782,109664,1.64859,25691.9,27861.8,28989.5,27120.7,25667.1,27838.3,28966.2,27098.3,19.7531,19.7531,19.7531,19.7531,5.035,3.735,3.46,2.675,0.0006464,11.9889,0,1,1,1.1,0.9,12.288,19.1352,22.362,18.8236,60,85,100,120,2,1.5,1,1.2
110,1,27.482,120932,1.69524,28296.7,30659,31999.7,29976.4,28269.6,30633.3,31974.1,29951.7,21.7484,21.7484,21.7484,21.7484,5.395,3.94,3.815,2.925,0.0007488,11.9166,0,1,1,1.1,0.9,12.288,19.1352,22.362,18.8236,60,85,100,120,2,1.5,1,1.2
