Time,UE,Delay,Jitter,Throughput,PDR,PLR
4,72,0.131187,0.0423478,0.207808,40.9639,59.0361
4,73,0.113271,0.0256475,0.4584,70.0935,29.9065
4,74,0.0933879,0.029379,0.299488,66.2162,33.7838
6,0,0.129218,0.0293024,0.360608,61.4583,38.5417
6,1,0.118021,0.0294204,0.33616,59.7826,40.2174
6,2,0.131784,0.0322858,0.348384,64.0449,35.9551
6,3,0.136701,0.0269617,0.09168,17.0455,82.9545
6,4,0.131814,0.0320495,0.220032,60,40
6,5,0.146965,0.0408924,0.311712,43.5897,56.4103
6,6,0.116289,0.0297995,0.323936,70.6667,29.3333
6,7,0.0788461,0.019146,0.476736,89.6552,10.3448
6,8,0.135578,0.0317751,0.323936,49.5327,50.4673
6,9,0.0191989,0.00587097,0.495072,97.5904,2.40964
6,10,0.108162,0.0241052,0.42784,76.9231,23.0769
6,11,0.100288,0.024823,0.378944,68.8889,31.1111
6,12,0.00395674,0.000253606,0.48896,100,0
6,13,0.148508,0.0338588,0.171136,36.8421,63.1579
6,14,0.135158,0.033205,0.24448,51.2821,48.7179
6,15,0.128116,0.0333564,0.354496,66.6667,33.3333
6,16,0.116184,0.0275166,0.348384,73.0769,26.9231
6,17,0.0366471,0.0129947,0.48896,93.0233,6.97674
6,18,0.147441,0.0420413,0.201696,45.2055,54.7945
6,19,0.113626,0.0265519,0.262816,72.8814,27.1186
6,20,0.136693,0.0323189,0.330048,53.4653,46.5347
6,21,0.156608,0.0361014,0.085568,19.4444,80.5556
6,22,0.137839,0.0379099,0.171136,43.0769,56.9231
6,23,0.130623,0.0417809,0.128352,23.3333,76.6667
6,24,0.126905,0.0380006,0.158912,40,60
6,25,0.00985445,0.00374211,0.660096,98.1818,1.81818
6,26,0.145018,0.0406736,0.195584,32.6531,67.3469
6,27,0.163886,0.0312556,0.073344,14.6341,85.3659
6,28,0.150105,0.0372663,0.18336,41.0959,58.9041
6,29,0.155333,0.0433339,0.1528,27.1739,72.8261
6,30,0.128091,0.0346442,0.268928,49.4382,50.5618
6,31,0.0119809,0.00487536,0.403392,95.6522,4.34783
6,32,0.141632,0.0274315,0.330048,62.069,37.931
6,33,0.144909,0.0320964,0.24448,41.6667,58.3333
6,34,0.109359,0.0253833,0.378944,82.6667,17.3333
6,35,0.118812,0.0316103,0.27504,56.25,43.75
6,36,0.143481,0.0274556,0.165024,35.5263,64.4737
6,37,0.0886528,0.0223398,0.3056,81.9672,18.0328
6,38,0.116794,0.0333766,0.165024,32.1429,67.8571
6,39,0.137851,0.0354964,0.201696,35.4839,64.5161
6,40,0.141917,0.0290674,0.201696,46.4789,53.5211
6,41,0.11231,0.0318503,0.201696,33,67
6,42,0.00675609,0.0015,0.4584,98.6842,1.31579
6,43,0.0397359,0.0132159,0.27504,83.3333,16.6667
6,44,0.127555,0.0279893,0.27504,60,40
6,45,0.0932019,0.0238336,0.464512,80.8511,19.1489
6,46,0.144533,0.0349145,0.177248,32.5843,67.4157
6,47,0.1301,0.0363886,0.165024,40.2985,59.7015
6,48,0.0920589,0.0214556,0.42784,80.4598,19.5402
6,49,0.126484,0.0307168,0.360608,69.4118,30.5882
6,50,0.139262,0.0357102,0.201696,45.2055,54.7945
6,51,0.115267,0.0302816,0.220032,46.1538,53.8462
6,52,0.138242,0.0321785,0.177248,46.7742,53.2258
6,53,0.139864,0.0347253,0.128352,21.875,78.125
6,54,0.141877,0.0372294,0.195584,59.2593,40.7407
6,55,0.12281,0.0285256,0.446176,68.2243,31.7757
6,56,0.00984383,0.00277495,0.55008,100,0
6,57,0.00689912,0.00156692,0.470624,88.5057,11.4943
6,58,0.155092,0.0344241,0.146688,30.7692,69.2308
6,59,0.153572,0.0426083,0.067232,14.6667,85.3333
6,60,0.136436,0.0269941,0.256704,46.1538,53.8462
6,61,0.137683,0.0326329,0.24448,57.1429,42.8571
6,62,0.00370091,0.000185825,0.507296,100,0
6,63,0.0151055,0.00457683,0.4584,100,0
6,64,0.151126,0.031973,0.165024,34.6154,65.3846
6,65,0.129316,0.0307594,0.391168,66.6667,33.3333
6,66,0.0261269,0.0105411,0.24448,81.6327,18.3673
6,67,0.0845402,0.0172015,0.3056,83.3333,16.6667
6,68,0.0912788,0.0257083,0.415616,80.9524,19.0476
6,69,0.0057091,0.00161935,0.495072,100,0
6,70,0.125671,0.0280464,0.33616,64.7059,35.2941
6,71,0.116707,0.0323371,0.207808,44.7368,55.2632
6,72,0.141113,0.0381294,0.171136,45.9016,54.0984
6,73,0.12052,0.0263987,0.323936,65.4321,34.5679
6,74,0.0976983,0.0259586,0.51952,70.2479,29.7521
8,0,0.134431,0.0306787,0.360608,58.4158,41.5842
8,1,0.118623,0.0290223,0.299488,84.4828,15.5172
8,2,0.132776,0.0351776,0.238368,44.8276,55.1724
8,3,0.141641,0.0284735,0.085568,17.284,82.716
8,4,0.131223,0.0315435,0.287264,56.6265,43.3735
8,5,0.145319,0.0376084,0.24448,53.3333,46.6667
8,6,0.112239,0.028159,0.36672,84.507,15.493
8,7,0.0862419,0.0216221,0.452288,89.1566,10.8434
8,8,0.136115,0.0302883,0.360608,71.0843,28.9157
8,9,0.0148514,0.0050034,0.433952,100,0
8,10,0.114161,0.0247274,0.48896,68.3761,31.6239
8,11,0.108205,0.0264803,0.378944,71.2644,28.7356
8,12,0.00400762,0.000292897,0.647872,100,0
8,13,0.148859,0.0339719,0.207808,44.7368,55.2632
8,14,0.135252,0.0324222,0.287264,64.3836,35.6164
8,15,0.116751,0.0320302,0.372832,67.033,32.967
8,16,0.114814,0.0275972,0.317824,70.2703,29.7297
8,17,0.036193,0.0119768,0.525632,94.5055,5.49451
8,18,0.146055,0.0395897,0.281152,53.4884,46.5116
8,19,0.121786,0.0264388,0.36672,66.6667,33.3333
8,20,0.13429,0.0323694,0.177248,51.7857,48.2143
8,21,0.153941,0.0329002,0.24448,53.3333,46.6667
8,22,0.129977,0.0396846,0.201696,37.931,62.069
8,23,0.126196,0.0388847,0.085568,22.5806,77.4194
8,24,0.134905,0.036693,0.268928,49.4382,50.5618
8,25,0.01944,0.00604071,0.446176,93.5897,6.41026
8,26,0.14262,0.0388935,0.18336,44.7761,55.2239
8,27,0.161224,0.0348399,0.024448,5.12821,94.8718
8,28,0.143385,0.0375057,0.165024,28.4211,71.5789
8,29,0.15645,0.0425588,0.116128,17.9245,82.0755
8,30,0.134921,0.0326279,0.3056,60.241,39.759
8,31,0.0110185,0.0039459,0.48896,98.7654,1.23457
8,32,0.134515,0.0283714,0.317824,63.4146,36.5854
8,33,0.142074,0.0334466,0.262816,63.2353,36.7647
8,34,0.109175,0.0264554,0.360608,74.6835,25.3165
8,35,0.121912,0.028625,0.378944,69.6629,30.3371
8,36,0.140979,0.0297758,0.238368,41.9355,58.0645
8,37,0.0589951,0.0158494,0.568416,94.898,5.10204
8,38,0.129978,0.0330717,0.256704,48.8372,51.1628
8,39,0.142158,0.0351238,0.158912,40.625,59.375
8,40,0.141039,0.0317203,0.36672,62.5,37.5
8,41,0.122611,0.0330208,0.299488,60.4938,39.5062
8,42,0.00591738,0.00122067,0.348384,100,0
8,43,0.040164,0.0140366,0.42784,98.5915,1.40845
8,44,0.13486,0.0289159,0.311712,59.3023,40.6977
8,45,0.0887122,0.0243131,0.42784,78.6517,21.3483
8,46,0.140064,0.0347341,0.21392,36.0825,63.9175
8,47,0.132214,0.0361181,0.287264,48.9583,51.0417
8,48,0.0903027,0.0229876,0.372832,77.2152,22.7848
8,49,0.129509,0.0295982,0.4584,72.1154,27.8846
8,50,0.136672,0.0340045,0.085568,22.9508,77.0492
8,51,0.12867,0.0285098,0.372832,71.7647,28.2353
8,52,0.137466,0.0353191,0.262816,46.7391,53.2609
8,53,0.139413,0.0363461,0.1528,29.0698,70.9302
8,54,0.139931,0.0350725,0.354496,58,42
8,55,0.123285,0.0274359,0.360608,66.2921,33.7079
8,56,0.00737177,0.00188138,0.592864,100,0
8,57,0.00776516,0.00183887,0.507296,100,0
8,58,0.156523,0.0323465,0.330048,44.6281,55.3719
