sim_time_s,pdet,rmse_m,energy_j,jscore,uav0_energy_j,uav1_energy_j,uav2_energy_j,uav3_energy_j,uav0_eprop_j,uav1_eprop_j,uav2_eprop_j,uav3_eprop_j,uav0_erf_j,uav1_erf_j,uav2_erf_j,uav3_erf_j,uav0_eproc_j,uav1_eproc_j,uav2_eproc_j,uav3_eproc_j,avg_throughput_mbps,avg_delay_ms,avg_loss_pct,survSenseDt,patSenseDt,rapidSenseDt,stratSenseDt,survTargetSpeed,patTargetSpeed,rapidTargetSpeed,stratTargetSpeed,survTargetAltitude,patTargetAltitude,rapidTargetAltitude,stratTargetAltitude,survDt,patDt,rapidDt,stratDt
10,0.412946,6.86496,9962.76,1.36213,2311.52,2489.94,2814.71,2346.58,2309.24,2487.8,2812.67,2344.64,1.79574,1.79574,1.79574,1.79574,0.485,0.345,0.25,0.15,0.0007872,11.9969,0,1,1,1,1,11.7594,18.3059,26.7244,12.512,60,80,100,120,2,1.5,1,1.2
20,0.5625,7.18003,21283,2.09758,4896.44,5336.76,6042.02,5007.8,4891.65,5332.27,6037.62,5003.5,3.791,3.791,3.791,3.791,1,0.695,0.61,0.505,0.0010112,12.561,0,1,1,1,1,11.7594,18.3059,26.7244,11.512,60,80,100,120,2,1.5,1,1.2
30,0.625,8.06842,32578.7,2.20401,7467.48,8216.45,9213.68,7681.14,7460.27,8209.62,9206.8,7674.56,5.78626,5.78626,5.78626,5.78626,1.425,1.035,1.085,0.795,0.0009792,12.0379,0,1,1,1,1,12.7594,18.3059,26.7244,11.512,60,80,100,120,2,1.5,1,1.2
40,0.65,9.34512,43892.1,2.15565,10064.3,11047.4,12424.9,10355.5,10054.6,11038.2,12415.6,10346.7,7.78152,7.78152,7.78152,7.78152,1.885,1.44,1.465,1.045,0.0009568,12.1308,0,1,1,1,1,12.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
50,0.668125,13.0562,55271.3,1.56174,12717.6,13886.2,15649,13018.5,12705.6,13874.7,15637.5,13007.4,9.77679,9.77679,9.77679,9.77679,2.195,1.685,1.715,1.34,0.000704,12.5645,0,1,1,1,1,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
60,0.68125,16.485,66626,1.42784,15368.6,16700.2,18991.2,15565.9,15354.5,16686.3,18977.5,15552.5,11.772,11.772,11.772,11.772,2.38,2.09,1.995,1.6,0.0007232,12.0343,0,1,1,1,1,14.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
70,0.776563,18.6653,77880.1,1.6212,17872.1,19523.5,22263,18221.6,17855.8,19507,22247,18206,13.7673,13.7673,13.7673,13.7673,2.525,2.695,2.23,1.805,0.0007616,12.1308,0,1,1,1,1,15.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
80,0.8575,21.5388,89007.5,1.52151,20395,22366.5,25385.5,20860.6,20376.5,22347.5,25367.3,20842.8,15.7626,15.7626,15.7626,15.7626,2.675,3.18,2.395,2.06,0.0006752,12.5574,0,1,1,1,1,14.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
90,0.919375,22.7889,100452,1.97635,23020.4,25217.6,28680.4,23534,22999.7,25196.3,28659.9,23513.7,17.7578,17.7578,17.7578,17.7578,2.95,3.495,2.735,2.525,0.0008928,12.0343,0,1,1,1,1,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
100,0.925,25.3023,111668,1.56842,25613.2,28009.5,31911.6,26133.4,25590.2,27986.1,31888.8,26110.8,19.7531,19.7531,19.7531,19.7531,3.25,3.67,3.085,2.85,0.000736,12.4751,0,1,1,1,0.9,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
110,0.925,28.4558,122605,1.3226,28199.2,30562.7,35121.7,28721.4,28173.8,30537.1,35096.5,28696.5,21.7484,21.7484,21.7484,21.7484,3.575,3.855,3.46,3.095,0.0007232,12.8029,0,1,1,1,0.8,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
120,0.925,30.6728,133994,1.33806,30790.9,33352.4,38500.9,31349.5,30763.1,33324.6,38473.4,31322.4,23.7436,23.7436,23.7436,23.7436,4.035,4.06,3.785,3.325,0.0007808,12.1628,0,1,1,1,0.7,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
130,0.935511,32.5289,145380,1.70646,33428.1,36153.8,41843.9,33954.3,33397.7,36123.7,41814.1,33925,25.7389,25.7389,25.7389,25.7389,4.66,4.37,4.12,3.63,0.001008,12.2414,0,1,1,1,0.7,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
140,0.951989,34.3045,156617,1.93225,36081.8,38962.7,45059.6,36513.2,36048.7,38930,45027.5,36481.5,27.7341,27.7341,27.7341,27.7341,5.295,4.925,4.36,3.98,0.0011392,12.6503,0,1,1,1,0.7,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
150,0.993611,31.1296,167991,2.25556,38758.3,41824.1,48284.3,39124.4,38722.8,41788.6,48249.9,39090.4,29.7294,29.7294,29.7294,29.7294,5.8,5.77,4.675,4.27,0.0012512,12.0415,0,1,1,1,0.7,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
160,1,31.3366,179238,2.25567,41395.8,44592.6,51580.3,41669.3,41357.9,44554.5,51543.3,41632.9,31.7247,31.7247,31.7247,31.7247,6.14,6.375,5.27,4.675,0.0012448,12.2306,0,1,1,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
170,1,32.8801,190314,1.99396,44020.6,47327.9,54740.4,44224.8,43980.5,47287.6,54700.9,44185.8,33.7199,33.7199,33.7199,33.7199,6.395,6.64,5.77,5.355,0.001088,12.7609,0,1,1,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
180,1,34.9036,201372,1.83254,46712,50123.3,57746.1,46791.1,46669.6,50080.6,57704.3,46749.4,35.7152,35.7152,35.7152,35.7152,6.625,6.955,6.135,5.955,0.0009664,12.3413,0,1,1,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
190,1,39.0062,212607,1.51359,49391.6,53019.3,60832.5,49364.1,49347,52974.4,60788.4,49320,37.7105,37.7105,37.7105,37.7105,6.91,7.195,6.415,6.33,0.0007552,12.3842,0,1,1,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
200,1,43.0046,223974,1.55218,52135.8,55850.6,64063.1,51924.8,52088.8,55803.5,64016.7,51878.4,39.7057,39.7057,39.7057,39.7057,7.265,7.43,6.74,6.655,0.0007936,12.7645,0,1,1,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
210,1,44.7788,235319,1.96711,54845.4,58650.3,67305.8,54517.2,54796,58600.8,67256.9,54468.4,41.701,41.701,41.701,41.701,7.645,7.855,7.185,7.055,0.001056,12.3378,0,1,1,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
220,1,43.1889,246562,2.30577,57512.6,61463.9,70456.8,57128.6,57460.6,61411.8,70405.5,57077.5,43.6962,43.6962,43.6962,43.6962,8.255,8.43,7.615,7.445,0.0012832,12.3806,0,1,1,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,105,120,2,1.5,1,1.2
230,1,40.8669,257775,1.96053,60185.7,64248.7,73587.9,59752.5,60131.3,64194.1,73534.3,59698.9,45.6915,45.6915,45.6915,45.6915,8.73,8.91,7.885,7.885,0.0010656,12.7573,0,1,1,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,100,120,2,1.5,1,1.2
240,1,42.6113,269146,1.76089,62818.9,67076.2,76878.4,62372.9,62762.2,67019.2,76822.5,62317,47.6868,47.6868,47.6868,47.6868,9.05,9.375,8.165,8.255,0.0009184,12.3342,0,1,1,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,100,125,2,1.5,1,1.2
250,1,42.2021,280478,1.78257,65423.2,69976,80096.1,64982.7,65364.2,69916.6,80037.8,64924.3,49.682,49.682,49.682,49.682,9.31,9.755,8.565,8.675,0.0009344,12.3806,0,1,1,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,100,130,2,1.5,1,1.2
260,1,41.1843,291893,1.83888,68135.1,72831.2,83329.8,67596.5,68073.9,72769.4,83268.8,67535.8,51.6773,51.6773,51.6773,51.6773,9.52,10.095,9.285,8.945,0.0009856,12.7904,0,1,0.9,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,100,130,2,1.5,1,1.2
270,1,43.5202,303205,1.7504,70814.5,75613.8,86538,70239.1,70750.9,75549.6,86474.7,70176.2,53.6726,53.6726,53.6726,53.6726,9.885,10.6,9.65,9.145,0.0009184,12.5439,0,1,0.9,1,0.6,13.7594,18.3059,27.7244,11.512,60,80,100,130,2,1.5,1,1.2
280,1,46.1344,314513,1.62152,73525.1,78378.8,89841.4,72767.8,73459.1,78312,89775.8,72702.8,55.6678,55.6678,55.6678,55.6678,10.305,11.07,9.895,9.305,0.0008288,12.4335,0,1,0.9,1,0.6,13.7594,18.3059,28.7244,11.512,60,80,100,130,2,1.5,1,1.2
290,1,50.1149,325683,1.61662,76168.7,81124.9,93090.7,75298.5,76100.4,81055.8,93022.7,75231.3,57.6631,57.6631,57.6631,57.6631,10.59,11.43,10.315,9.54,0.000832,12.6276,0,1,0.8,1,0.6,13.7594,18.3059,28.7244,11.512,60,80,100,130,2,1.5,1,1.2
300,1,50.8686,337078,1.88573,78862.1,83965.8,96370.6,77879.4,78791.5,83894.4,96299.9,77809.9,59.6583,59.6583,59.6583,59.6583,10.87,11.725,11,9.85,0.0010048,12.4294,0,1,0.8,1,0.6,13.7594,17.3059,28.7244,11.512,60,80,100,130,2,1.5,1,1.2
