Time,RecordType,UavIndex,UavCellId,CentroidIndex,CurrentEastM,CurrentNorthM,TargetEastM,TargetNorthM,DistanceToTargetM,ReachThresholdM,HasMovementAssignment,Arrived,NumMovementUes,NumCentroids
32,ASSIGN,2,7,2,89.1289,-102.348,364.286,-363.353,379.256,1,1,0,6,3
33,ASSIGN,0,5,0,142.035,77.7226,375.657,345.814,355.602,1,1,0,5,3
33,ASSIGN,1,6,1,24.2443,94.3418,-325.705,310.516,411.334,1,1,0,5,3
33,ASSIGN,2,7,2,100.012,-112.671,343.637,-371.831,355.692,1,1,0,5,3
34,ASSIGN,0,5,0,151.889,89.0312,371.785,343.693,336.463,1,1,0,5,3
34,ASSIGN,1,6,1,11.4831,102.225,-323.379,307.468,392.756,1,1,0,5,3
34,ASSIGN,2,7,2,110.287,-123.6,339.794,-371.34,337.711,1,1,0,5,3
35,ASSIGN,0,5,0,161.694,100.384,368.637,342.935,318.836,1,1,0,5,3
35,ASSIGN,1,6,1,-1.30561,110.064,-320.755,305.025,374.243,1,1,0,5,3
35,ASSIGN,2,7,2,120.481,-134.604,337.183,-368.175,318.614,1,1,0,5,3
36,ASSIGN,0,5,1,171.43,111.795,358.014,164.885,193.99,1,1,0,7,3
36,ASSIGN,1,6,2,-14.1087,117.878,-317.837,301.514,354.927,1,1,0,7,3
36,ASSIGN,2,7,0,130.684,-145.6,-406.296,328.692,716.45,1,1,0,7,3
37,ASSIGN,0,5,1,185.857,115.901,374.867,-16.3181,230.665,1,1,0,7,3
37,ASSIGN,1,6,2,-26.944,125.639,-315.102,297.576,335.555,1,1,0,7,3
37,ASSIGN,2,7,0,119.442,-135.67,-404.3,330.483,701.145,1,1,0,7,3
38,ASSIGN,0,5,1,198.15,107.302,374.819,-15.4639,215.136,1,1,0,7,3
38,ASSIGN,1,6,2,-39.8248,133.325,-313.145,295.044,317.58,1,1,0,7,3
38,ASSIGN,2,7,0,108.238,-125.697,-402.557,333.112,686.599,1,1,0,7,3
39,ASSIGN,0,5,1,210.468,98.7428,392.401,313.551,281.5,1,1,0,7,3
39,ASSIGN,1,6,0,-52.7341,140.963,-369.534,322.751,365.252,1,1,0,7,3
