Time,RecordType,UavIndex,UavCellId,CentroidIndex,CurrentEastM,CurrentNorthM,TargetEastM,TargetNorthM,DistanceToTargetM,ReachThresholdM,HasMovementAssignment,Arrived,NumMovementUes,NumCentroids
32,ASSIGN,2,7,0,-19.5823,23.4305,344.905,431.659,547.268,1,1,0,4,3
33,ASSIGN,0,5,1,138.036,-6.66898,377.176,359.327,437.197,1,1,0,4,3
33,ASSIGN,1,6,0,-47.2718,134.3,-265.917,400.944,344.826,1,1,0,4,3
33,ASSIGN,2,7,2,-9.59124,34.6196,-353.159,401.891,502.919,1,1,0,4,3
34,ASSIGN,0,5,0,146.241,5.88816,343.804,-392.31,444.515,1,1,0,4,3
34,ASSIGN,1,6,2,-56.7819,145.899,-311.567,399.886,359.757,1,1,0,4,3
34,ASSIGN,2,7,1,-19.8382,45.5738,409.835,386.234,548.332,1,1,0,4,3
35,ASSIGN,0,5,0,152.908,-7.54892,341.481,-395.567,431.413,1,1,0,4,3
35,ASSIGN,1,6,2,-67.4045,156.489,-313.536,396.421,343.727,1,1,0,4,3
35,ASSIGN,2,7,1,-8.08415,54.8928,411.363,388.149,535.72,1,1,0,4,3
36,ASSIGN,0,5,0,159.465,-21.0401,339.159,-398.823,418.341,1,1,0,4,3
36,ASSIGN,1,6,1,-78.1455,166.959,-270.93,390.042,294.842,1,1,0,4,3
36,ASSIGN,2,7,2,3.66036,64.2239,384.936,360.746,483.008,1,1,0,4,3
37,ASSIGN,0,5,2,165.909,-34.5858,359.949,-354.64,374.281,1,1,0,5,3
37,ASSIGN,1,6,1,-87.9523,178.308,364.608,338.295,480.007,1,1,0,5,3
37,ASSIGN,2,7,0,15.5018,73.4325,336.836,-402.079,573.905,1,1,0,5,3
38,ASSIGN,0,5,2,173.686,-47.4126,358.638,-351.895,356.254,1,1,0,5,3
38,ASSIGN,1,6,1,-73.8096,183.308,367.181,341.358,468.458,1,1,0,5,3
38,ASSIGN,2,7,0,23.9008,61.0042,334.513,-405.336,560.315,1,1,0,5,3
39,ASSIGN,0,5,0,181.474,-60.2328,364.568,-330.439,326.397,1,1,0,3,3
39,ASSIGN,1,6,1,-59.6885,188.369,322.114,-361.83,669.695,1,1,0,3,3
39,ASSIGN,2,7,2,32.2165,48.52,385.3,-355.183,536.324,1,1,0,3,3
40,ASSIGN,0,5,0,189.888,-72.6504,362.091,-327.298,307.407,1,1,0,3,3
40,ASSIGN,1,6,1,-51.1364,176.045,-336.505,331.052,324.749,1,1,0,3,3
40,ASSIGN,2,7,2,42.0927,37.2291,318.504,-360.107,484.024,1,1,0,3,3
41,ASSIGN,0,5,0,198.292,-85.076,359.614,-324.158,288.418,1,1,0,2,2
41,ASSIGN,1,6,1,-64.3162,183.205,-339.476,328.373,311.106,1,1,0,2,2
42,ASSIGN,0,5,0,206.683,-97.5102,357.137,-321.017,269.429,1,1,0,1,1
43,ASSIGN,0,5,0,215.059,-109.954,312.049,354.172,474.152,1,1,0,2,2
43,ASSIGN,1,6,1,-77.5821,190.204,-410.555,310.859,354.158,1,1,0,2,2
44,ASSIGN,0,5,0,218.128,-95.2707,-406.806,312.258,746.071,1,1,0,1,1
45,ASSIGN,0,5,2,205.564,-87.0772,376.211,-385.876,344.095,1,1,0,5,3
45,ASSIGN,1,6,0,-91.6842,195.314,-316.127,288.093,242.863,1,1,0,5,3
45,ASSIGN,2,7,1,50.6592,24.9156,-392.328,347.602,548.055,1,1,0,5,3
46,ASSIGN,0,5,0,213.004,-100.103,-310.922,284.626,650.011,1,1,0,4,3
46,ASSIGN,1,6,2,-105.546,201.045,-399.309,315.056,315.112,1,1,0,4,3
46,ASSIGN,2,7,1,38.5355,33.7474,-362.978,390.356,537.013,1,1,0,4,3
47,ASSIGN,0,5,0,200.914,-91.2245,-42.2268,-272.574,303.324,1,1,0,5,3
47,ASSIGN,1,6,1,-119.529,206.472,-314.616,286.16,210.734,1,1,0,5,3
47,ASSIGN,2,7,2,27.3209,43.7083,-374.559,367.815,516.288,1,1,0,5,3
48,ASSIGN,0,5,0,188.891,-100.193,-44.2172,-277.161,292.672,1,1,0,5,3
48,ASSIGN,1,6,1,-133.415,212.144,-318.309,287.695,199.734,1,1,0,5,3
48,ASSIGN,2,7,2,15.6458,53.1247,-374.187,369.864,502.288,1,1,0,5,3
49,ASSIGN,0,5,0,176.944,-109.263,-46.2075,-281.747,282.042,1,1,0,7,3
49,ASSIGN,1,6,2,-147.299,217.818,-361.329,349.713,251.406,1,1,0,7,3
49,ASSIGN,2,7,1,4.00412,62.5836,359.132,345.944,454.322,1,1,0,7,3
50,ASSIGN,0,5,0,165.076,-118.436,379.775,-427.078,375.973,1,1,0,5,3
50,ASSIGN,1,6,1,-160.069,225.687,-369.876,394.502,269.291,1,1,0,5,3
50,ASSIGN,2,7,2,15.7295,71.9391,355.547,345.824,436.451,1,1,0,5,3
51,ASSIGN,0,5,0,173.643,-130.75,380.261,-424.195,358.889,1,1,0,4,3
51,ASSIGN,1,6,2,-171.755,235.091,-361.341,407.358,256.162,1,1,0,4,3
51,ASSIGN,2,7,1,27.4094,81.352,326.134,341.121,395.874,1,1,0,4,3
52,ASSIGN,0,5,0,182.279,-143.014,379.944,-420.208,340.452,1,1,0,4,3
52,ASSIGN,1,6,2,-182.856,245.178,-364.532,409.77,245.146,1,1,0,4,3
52,ASSIGN,2,7,1,38.7293,91.1949,326.085,341.207,380.893,1,1,0,4,3
53,ASSIGN,0,5,1,190.989,-155.227,352.971,-312.725,225.929,1,1,0,6,3
53,ASSIGN,1,6,2,-193.971,255.249,172.531,370.518,384.201,1,1,0,6,3
53,ASSIGN,2,7,0,50.0468,101.041,379.627,-416.22,613.337,1,1,0,6,3
54,ASSIGN,0,5,1,201.744,-165.684,337.354,-387.562,260.038,1,1,0,6,3
54,ASSIGN,1,6,0,-179.661,259.749,288.445,117.372,489.28,1,1,0,6,3
54,ASSIGN,2,7,2,58.1073,88.3903,353.441,357.708,399.693,1,1,0,6,3
55,ASSIGN,0,5,1,209.567,-178.483,378.993,-408.246,285.475,1,1,0,5,3
55,ASSIGN,1,6,0,-165.309,255.384,291.986,120.904,476.659,1,1,0,5,3
55,ASSIGN,2,7,2,69.1916,98.4975,354.266,358.787,386.029,1,1,0,5,3
56,ASSIGN,0,5,1,218.469,-190.555,378.676,-404.258,267.086,1,1,0,5,3
56,ASSIGN,1,6,0,-150.917,251.152,295.526,124.436,464.079,1,1,0,5,3
56,ASSIGN,2,7,2,80.2699,108.612,355.092,359.866,372.365,1,1,0,5,3
57,ASSIGN,0,5,1,227.468,-202.557,378.359,-400.271,248.714,1,1,0,5,3
57,ASSIGN,1,6,0,-136.486,247.057,299.067,127.968,451.541,1,1,0,5,3
57,ASSIGN,2,7,2,91.341,118.733,355.941,361.742,359.258,1,1,0,5,3
58,ASSIGN,0,5,0,236.569,-214.481,378.079,-296.59,163.606,1,1,0,5,3
58,ASSIGN,1,6,1,-122.017,243.101,-357.957,296.425,241.891,1,1,0,5,3
58,ASSIGN,2,7,2,102.389,128.879,356.807,364.149,346.526,1,1,0,5,3
59,ASSIGN,0,5,1,249.544,-222.01,405.219,-292.13,170.738,1,1,0,7,3
59,ASSIGN,1,6,2,-136.648,246.407,-353.966,296.699,223.061,1,1,0,7,3
59,ASSIGN,2,7,0,113.403,139.063,351.339,369.977,331.563,1,1,0,7,3
60,ASSIGN,0,5,2,263.221,-228.17,430.513,-284.391,176.485,1,1,0,6,3
60,ASSIGN,1,6,1,-151.261,249.789,-349.975,296.974,204.239,1,1,0,6,3
60,ASSIGN,2,7,0,124.168,149.51,352.546,371.607,318.565,1,1,0,6,3
61,ASSIGN,0,5,0,277.441,-232.948,386.279,-95.6774,175.183,1,1,0,9,3
61,ASSIGN,1,6,2,-165.854,253.255,-374.306,332.076,222.856,1,1,0,9,3
61,ASSIGN,2,7,1,134.922,159.968,352.216,371.998,303.602,1,1,0,9,3
62,ASSIGN,0,5,0,286.761,-221.194,388.408,-91.7238,164.605,1,1,0,9,3
62,ASSIGN,1,6,2,-179.885,258.56,-375.261,332.439,208.878,1,1,0,9,3
62,ASSIGN,2,7,1,145.658,170.443,365.052,367.149,294.664,1,1,0,9,3
63,ASSIGN,0,5,0,296.024,-209.396,390.536,-87.7701,154.03,1,1,0,10,3
63,ASSIGN,1,6,1,-193.915,263.865,-370.788,334.925,190.614,1,1,0,10,3
63,ASSIGN,2,7,2,156.827,180.457,382.334,370.585,294.961,1,1,0,10,3
64,ASSIGN,0,5,1,305.228,-197.552,416.088,-308.444,156.803,1,1,0,8,3
64,ASSIGN,1,6,2,-207.833,269.457,-381.415,360.833,196.164,1,1,0,8,3
64,ASSIGN,2,7,0,168.296,190.126,386.136,282.213,236.505,1,1,0,8,3
65,ASSIGN,0,5,1,315.834,-208.16,396.148,81.2406,300.338,1,1,0,9,3
65,ASSIGN,1,6,2,-221.106,276.444,-381.82,351.477,177.366,1,1,0,9,3
65,ASSIGN,2,7,0,182.113,195.966,-382.994,-187.746,683.067,1,1,0,9,3
66,ASSIGN,0,5,1,319.846,-193.706,396.078,-19.3845,190.261,1,1,0,9,3
66,ASSIGN,1,6,2,-234.697,282.79,-400.126,370.83,187.397,1,1,0,9,3
66,ASSIGN,2,7,0,169.704,187.54,-387.459,-189.806,672.919,1,1,0,9,3
67,ASSIGN,0,5,1,325.856,-179.963,394.588,-17.7657,176.159,1,1,0,8,3
67,ASSIGN,1,6,2,-247.938,289.837,-409.13,401.779,196.25,1,1,0,8,3
