Time,UeGroup,UeIndex,UeNodeId,Imsi,ServingCell,ServingRsrpDbm,BestFeasibleTnRsrpDbm,BestFeasibleUavRsrpDbm,ServiceState,StateAgeSec,SensedOrOraclePositionAvailable,ControllerEastM,ControllerNorthM,IncludedInMovementTarget
12,UES1,56,63,63,3,-62.8888,-90.2709,-89.5663,SERVED,0,1,-36.811854,26.362689,0
12,UES1,57,64,64,4,-78.952,-72.7745,-99.1188,SERVED,0,1,-98.747136,64.154999,0
12,UES1,58,65,65,4,-90.0266,-92.6531,-97.1157,SERVED,0,1,-88.196572,-78.595502,0
12,UES1,59,66,66,1,-68.8325,-70.5258,-106.213,SERVED,0,1,116.960982,-98.269133,0
12,UES2,0,67,67,0,NA,-121.218,-121.865,UNKNOWN,0,1,-361.218478,317.854467,0
12,UES2,1,68,68,3,-119.47,-117.107,-120.646,PERSISTING,0,1,317.549672,384.398976,0
12,UES2,2,69,69,0,NA,-102.297,-125.568,UNKNOWN,0,1,394.896709,-320.670276,0
12,UES2,3,70,70,0,NA,-118.251,-125.269,UNKNOWN,0,1,-309.848114,340.776714,0
12,UES2,4,71,71,7,-126.513,-93.4199,-117.7,ALTERNATIVE_AVAILABLE,0,1,361.834337,381.039542,0
12,UES2,5,72,72,0,NA,-118.651,-120.839,UNKNOWN,0,1,342.173794,-326.606134,0
12,UES2,6,73,73,3,-115.852,-117.704,-118.77,PERSISTING,0,1,-391.435327,344.038590,0
12,UES2,7,74,74,0,NA,-123.706,-124.189,UNKNOWN,0,1,444.776493,325.242651,0
12,UES2,8,75,75,2,-119.645,-116.707,-114.952,PERSISTING,0,1,319.225409,-355.658140,0
12,UES2,9,76,76,0,NA,-98.5378,-104.653,UNKNOWN,0,1,-366.336593,289.527231,0
12,UES2,10,77,77,0,NA,-114.914,-124.285,UNKNOWN,0,1,379.697860,363.728904,0
12,UES2,11,78,78,3,-115.476,-79.2185,-118.872,ALTERNATIVE_AVAILABLE,0,1,338.992884,-310.868672,0
12,UES2,12,79,79,0,NA,-121.177,-125.138,UNKNOWN,0,1,-350.752838,288.482020,0
12,UES2,13,80,80,0,NA,-124.844,-123.137,UNKNOWN,0,1,409.933367,358.694806,0
12,UES2,14,81,81,6,-112.501,-112.063,-113.743,PERSISTING,0,1,336.026555,-327.657522,0
12,UES2,15,82,82,1,-119.39,-112.631,-112.128,PERSISTING,0,1,-319.525763,311.535673,0
12,UES2,16,83,83,1,-117.153,-111.475,-115.559,PERSISTING,0,1,302.662527,305.969365,0
12,UES2,17,84,84,0,NA,-119.406,-97.0247,UNKNOWN,0,1,325.227920,-317.166906,0
12,UES2,18,85,85,4,-107.828,-99.3177,-117.869,ALTERNATIVE_AVAILABLE,0,1,-301.361541,335.768798,0
12,UES2,19,86,86,2,-110.717,-118.479,-119.298,PERSISTING,0,1,348.390885,323.225793,0
12,UES2,20,87,87,2,-116.409,-117.542,-115.804,PERSISTING,0,1,328.296396,-374.266349,0
12,UES2,21,88,88,0,NA,-119.82,-124.088,UNKNOWN,0,1,-350.242582,306.485719,0
12,UES2,22,89,89,0,NA,-99.9569,-107.973,UNKNOWN,0,1,322.530713,344.216198,0
12,UES2,23,90,90,5,-117.688,-92.1658,-91.1401,ALTERNATIVE_AVAILABLE,0,1,338.624724,-351.635002,0
12,UES2,24,91,91,4,-117.574,-117.838,-118.587,PERSISTING,0,1,-333.088108,397.045451,0
12,UES2,25,92,92,0,NA,-93.1669,-121.395,UNKNOWN,0,1,339.649543,304.198074,0
12,UES2,26,93,93,0,NA,-93.9201,-121.924,UNKNOWN,0,1,346.050595,-421.552194,0
12,UES2,27,94,94,0,NA,-119.311,-121.826,UNKNOWN,0,1,-374.762403,336.424688,0
12,UES2,28,95,95,6,-117.717,-114.324,-86.0818,ALTERNATIVE_AVAILABLE,0,1,328.576284,258.752637,0
12,UES2,29,96,96,2,-116.925,-113.663,-117.233,PERSISTING,0,1,382.605341,-321.931392,0
13,UES1,0,7,7,3,-65.5015,-69.5363,-96.5094,SERVED,0,1,-62.942106,-86.070023,0
13,UES1,1,8,8,1,-76.9099,-79.824,-89.0821,SERVED,0,1,71.336924,-32.409751,0
13,UES1,2,9,9,3,-61.5653,-69.9411,-96.2371,SERVED,0,1,-115.433934,98.963479,0
13,UES1,3,10,10,4,-72.1639,-75.3941,-91.0643,SERVED,0,1,33.848980,-79.541319,0
13,UES1,4,11,11,1,-84.3585,-89.6347,-104.368,SERVED,0,1,-2.061785,90.907333,0
13,UES1,5,12,12,4,-59.6949,-57.5726,-97.9962,SERVED,0,1,-73.300575,-8.033181,0
13,UES1,6,13,13,1,-81.0461,-66.2494,-104.359,SERVED,0,1,89.276996,-14.209695,0
13,UES1,7,14,14,2,-67.6461,-76.2839,-93.4221,SERVED,0,1,38.279098,3.985575,0
13,UES1,8,15,15,1,-91.1452,-64.8721,-90.1414,SERVED,0,1,6.433399,-83.504607,0
13,UES1,9,16,16,3,-87.7134,-78.2716,-88.1787,SERVED,0,1,-32.753724,57.305332,0
13,UES1,10,17,17,4,-84.7255,-63.2604,-87.6901,SERVED,0,1,-43.255009,-39.906242,0
13,UES1,11,18,18,1,-65.3453,-83.6069,-75.1239,SERVED,0,1,21.156201,33.401602,0
13,UES1,12,19,19,7,-100.096,-91.4795,-96.4411,ALTERNATIVE_AVAILABLE,0,1,123.744308,-77.903771,0
13,UES1,13,20,20,7,-65.9062,-84.9565,-70.648,SERVED,0,1,22.242978,24.805197,0
13,UES1,14,21,21,1,-60.0696,-62.9544,-78.4195,SERVED,0,1,17.290643,-26.720636,0
13,UES1,15,22,22,1,-77.3267,-67.3434,-84.2552,SERVED,0,1,94.326933,31.353983,0
13,UES1,16,23,23,4,-84.4849,-89.3739,-96.0425,SERVED,0,1,-114.902626,-50.175873,0
13,UES1,17,24,24,1,-79.8737,-68.5796,-98.9167,SERVED,0,1,4.322282,-9.896380,0
13,UES1,18,25,25,1,-75.6257,-76.8049,-90.2421,SERVED,0,1,21.224618,38.381040,0
13,UES1,19,26,26,6,-94.92,-80.0748,-80.6343,SERVED,0,1,-35.411221,-16.981152,0
13,UES1,20,27,27,6,-80.3485,-68.4359,-78.9931,SERVED,0,1,-62.096223,75.081591,0
13,UES1,21,28,28,3,-85.2943,-85.2473,-99.2829,SERVED,0,1,-96.269533,116.725946,0
13,UES1,22,29,29,2,-56.556,-76.76,-99.6321,SERVED,0,1,124.241407,18.201988,0
13,UES1,23,30,30,6,-84.7247,-85.9282,-84.3133,SERVED,0,1,24.617716,-39.372540,0
13,UES1,24,31,31,2,-85.9846,-75.8839,-83.9744,SERVED,0,1,34.266180,104.752156,0
13,UES1,25,32,32,1,-90.7299,-63.8977,-84.9815,SERVED,0,1,-28.410205,94.626847,0
13,UES1,26,33,33,5,-99.5204,-91.7006,-97.1687,SERVED,0,1,143.286677,-27.426515,0
13,UES1,27,34,34,1,-65.4225,-88.4664,-70.8305,SERVED,0,1,51.923255,4.302812,0
13,UES1,28,35,35,4,-50.1665,-80.5903,-100.64,SERVED,0,1,-110.559825,35.062991,0
13,UES1,29,36,36,6,-65.5012,-72.8464,-78.5384,SERVED,0,1,28.716274,29.338367,0
13,UES1,30,37,37,7,-69.6257,-89.9213,-67.4766,SERVED,0,1,25.443743,-116.634870,0
13,UES1,31,38,38,1,-68.679,-82.6603,-81.5265,SERVED,0,1,82.627874,4.699479,0
13,UES1,32,39,39,1,-57.1692,-97.4848,-65.3819,SERVED,0,1,41.795394,-1.464463,0
13,UES1,33,40,40,5,-97.4198,-74.5789,-90.6841,SERVED,0,1,-55.002390,-11.590465,0
13,UES1,34,41,41,4,-88.0949,-65.8759,-95.8844,SERVED,0,1,-46.730398,-90.888155,0
13,UES1,35,42,42,6,-66.0875,-71.3279,-77.667,SERVED,0,1,35.335255,-16.643884,0
13,UES1,36,43,43,1,-67.8893,-66.6525,-78.9345,SERVED,0,1,111.623743,80.487460,0
13,UES1,37,44,44,6,-71.4067,-85.0404,-80.8848,SERVED,0,1,6.504448,-41.602000,0
13,UES1,38,45,45,1,-57.5641,-67.6775,-97.6524,SERVED,0,1,15.213973,-19.640206,0
13,UES1,39,46,46,5,-82.4731,-83.2043,-79.7446,SERVED,0,1,18.277665,-22.046148,0
13,UES1,40,47,47,4,-53.957,-65.2662,-70.2719,SERVED,0,1,-127.154762,42.024873,0
13,UES1,41,48,48,6,-105.395,-102.228,-82.499,ALTERNATIVE_AVAILABLE,0,1,-151.793237,-134.686660,0
13,UES1,42,49,49,3,-86.8296,-72.9125,-83.0633,SERVED,0,1,-15.655467,-5.764088,0
13,UES1,43,50,50,4,-61.0584,-88.2393,-89.4255,SERVED,0,1,-36.046111,-28.377684,0
13,UES1,44,51,51,7,-96.9844,-80.4571,-65.0351,SERVED,0,1,15.584765,0.132010,0
13,UES1,45,52,52,2,-99.9517,-65.5828,-90.5764,SERVED,0,1,1.250457,-61.157151,0
13,UES1,46,53,53,7,-92.6577,-88.824,-73.3142,SERVED,0,1,-48.339154,-76.208496,0
13,UES1,47,54,54,3,-47.7414,-76.2784,-84.2026,SERVED,0,1,-99.425325,25.739884,0
13,UES1,48,55,55,3,-50.2184,-64.5023,-88.0584,SERVED,0,1,-102.837800,40.050653,0
13,UES1,49,56,56,6,-90.567,-74.9287,-82.5735,SERVED,0,1,-10.665575,46.915499,0
13,UES1,50,57,57,3,-59.3383,-75.863,-94.052,SERVED,0,1,-74.077084,-12.080167,0
13,UES1,51,58,58,1,-88.4822,-83.9236,-87.8554,SERVED,0,1,127.228309,26.321324,0
13,UES1,52,59,59,6,-65.4437,-97.4606,-105.694,SERVED,0,1,-58.601218,122.096898,0
13,UES1,53,60,60,4,-60.1498,-62.846,-100.133,SERVED,0,1,-149.893112,-26.546722,0
13,UES1,54,61,61,2,-81.767,-63.3997,-91.6695,SERVED,0,1,62.193692,-8.726547,0
13,UES1,55,62,62,2,-66.2751,-81.6195,-81.4594,SERVED,0,1,41.945863,53.849189,0
13,UES1,56,63,63,3,-84.8974,-84.6438,-85.8565,SERVED,0,1,-36.354944,21.383585,0
13,UES1,57,64,64,4,-78.1998,-61.2972,-78.3292,SERVED,0,1,-100.525737,68.827806,0
13,UES1,58,65,65,4,-67.6366,-64.9259,-100.14,SERVED,0,1,-89.335260,-83.464079,0
13,UES1,59,66,66,1,-92.6853,-93.017,-93.2624,SERVED,0,1,120.640188,-101.655403,0
