sim_time_s,pdet,rmse_m,energy_j,jscore,uav0_energy_j,uav1_energy_j,uav2_energy_j,uav3_energy_j,uav0_eprop_j,uav1_eprop_j,uav2_eprop_j,uav3_eprop_j,uav0_erf_j,uav1_erf_j,uav2_erf_j,uav3_erf_j,uav0_eproc_j,uav1_eproc_j,uav2_eproc_j,uav3_eproc_j,avg_throughput_mbps,avg_delay_ms,avg_loss_pct,survSenseDt,patSenseDt,rapidSenseDt,stratSenseDt,survVmax,patVmax,rapidVmax,stratVmax,survZmin,survZmax,patZmin,patZmax,rapidZmin,rapidZmax,stratZmin,stratZmax,survDt,patDt,rapidDt,stratDt
10,0.639286,6.99426,10264.6,2.5458,2336.49,2438.69,3086.25,2403.12,2334.15,2436.49,3083.98,2401,1.79574,1.79574,1.79574,1.79574,0.54,0.405,0.47,0.33,0.0011168,11.6195,0,1,1,1,1,15,25,35,22,60,80,80,95,95,110,120,130,2,1.5,1,1.2
20,0.850313,6.87202,21715,3.62004,4939.22,5104.62,6583.17,5087.98,4934.21,5100.05,6578.14,5083.46,3.791,3.791,3.791,3.791,1.22,0.775,1.24,0.73,0.0014208,12.0792,0,1,1,1,1,15,25,35,22,60,80,80,95,95,110,120,130,2,1.5,1,1.2
30,0.910625,8.4142,33094.8,3.37032,7564.29,7759.51,9997.73,7773.26,7556.81,7752.59,9990.35,7766.06,5.78626,5.78626,5.78626,5.78626,1.695,1.13,1.595,1.41,0.0011936,11.8202,0,1,1,1,1,15,25,35,22,60,80,80,95,95,110,120,130,2,1.5,1,1.2
