t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
34.0,2,6,0,-3.58848,-100.0,0.523738,0,5.55333,2.19911,0.0,-9.14181,-1.675372
36.0,2,6,0,-7.29748,-100.0,0.246489,0,-3.58848,0.523738,0.0,-3.709,-0.277249
4.0,3,10,0,-5.71533,3.00387,0.0,1,10.7481,0.0,1.0,-16.463430000000002,0.0
6.0,3,10,0,-0.221201,17.3763,0.0,1,-5.71533,0.0,1.0,5.494129,0.0
8.0,3,10,0,-3.11125,22.725,0.0,1,-0.221201,0.0,1.0,-2.890049,0.0
10.0,3,10,0,-1.66943,24.7825,0.0,1,-3.11125,0.0,1.0,1.44182,0.0
12.0,3,10,0,-1.94057,20.0386,0.0,1,-1.66943,0.0,1.0,-0.27113999999999994,0.0
14.0,3,10,0,-11.2086,12.5387,0.0,1,-1.94057,0.0,1.0,-9.268030000000001,0.0
16.0,3,10,0,11.0543,26.6175,0.0,1,-11.2086,0.0,1.0,22.262900000000002,0.0
18.0,3,10,0,-1.33559,24.5072,0.0,1,11.0543,0.0,1.0,-12.38989,0.0
20.0,3,10,0,0.788463,7.32446,0.0,1,-1.33559,0.0,1.0,2.124053,0.0
22.0,3,10,0,3.38718,17.0213,0.0,1,0.788463,0.0,1.0,2.5987169999999997,0.0
24.0,3,10,0,-2.99814,15.7767,0.0,1,3.38718,0.0,1.0,-6.38532,0.0
26.0,3,10,0,1.71154,9.73908,0.0,1,-2.99814,0.0,1.0,4.70968,0.0
28.0,3,10,0,1.15725,6.48738,0.0,1,1.71154,0.0,1.0,-0.5542900000000002,0.0
30.0,3,10,0,1.29863,24.9857,0.0,1,1.15725,0.0,1.0,0.14138000000000006,0.0
32.0,3,10,1,-0.303868,9.60752,0.0,1,1.29863,0.0,1.0,-1.602498,0.0
34.0,3,5,0,2.55917,-100.0,1.4868,0,-0.303868,0.0,1.0,2.863038,1.4868
36.0,3,5,0,5.13518,-100.0,2.09162,0,2.55917,1.4868,0.0,2.57601,0.6048199999999999
4.0,4,9,0,-14.4328,-100.0,0.0510724,1,-20.0288,0.0142608,1.0,5.596,0.0368116
