t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
32.0,2,5,0,14.1342,-100.0,4.74992,0,-9.12727,0.166403,0.0,23.26147,4.5835170000000005
34.0,2,5,0,6.56472,-100.0,2.4683,0,14.1342,4.74992,0.0,-7.5694799999999995,-2.28162
36.0,2,5,0,46.1902,-100.0,15.3441,0,6.56472,2.4683,0.0,39.625479999999996,12.875799999999998
4.0,3,2,0,10.8758,-100.0,3.7262,0,5.56074,2.20104,0.0,5.31506,1.52516
6.0,3,2,0,45.7783,-100.0,15.2073,0,10.8758,3.7262,0.0,34.9025,11.4811
8.0,3,2,0,-5.39988,-100.0,0.365593,0,45.7783,15.2073,0.0,-51.17818,-14.841707
10.0,3,2,0,6.00925,-100.0,2.31891,0,-5.39988,0.365593,0.0,11.40913,1.9533169999999997
12.0,3,2,0,-2.72252,-100.0,0.617537,0,6.00925,2.31891,0.0,-8.73177,-1.7013729999999998
14.0,3,2,0,3.89757,-100.0,1.78799,0,-2.72252,0.617537,0.0,6.620089999999999,1.170453
16.0,3,2,0,11.0293,-100.0,3.77342,0,3.89757,1.78799,0.0,7.131729999999999,1.9854300000000003
18.0,3,2,0,3.33138,-100.0,1.65694,0,11.0293,3.77342,0.0,-7.69792,-2.11648
20.0,3,2,0,7.14581,-100.0,2.62831,0,3.33138,1.65694,0.0,3.81443,0.9713699999999998
22.0,3,2,0,1.38488,-100.0,1.24828,0,7.14581,2.62831,0.0,-5.76093,-1.3800299999999999
24.0,3,2,0,7.93023,-100.0,2.8498,0,1.38488,1.24828,0.0,6.54535,1.60152
26.0,3,2,0,-1.27628,-100.0,0.803533,0,7.93023,2.8498,0.0,-9.20651,-2.0462670000000003
28.0,3,2,0,4.01604,-100.0,1.81606,0,-1.27628,0.803533,0.0,5.29232,1.012527
30.0,3,2,0,4.48916,-100.0,1.9303,0,4.01604,1.81606,0.0,0.47311999999999976,0.1142399999999999
32.0,3,2,0,-19.2426,-100.0,0.0170742,1,4.48916,1.9303,0.0,-23.73176,-1.9132258
34.0,3,2,0,5.4891,-100.0,2.18245,0,-19.2426,0.0170742,1.0,24.7317,2.1653757999999996
36.0,3,2,0,38.2933,-100.0,12.721,0,5.4891,2.18245,0.0,32.8042,10.53855
4.0,4,5,0,32.741,-100.0,10.8771,0,12.1279,4.11459,0.0,20.6131,6.762510000000001
6.0,4,5,0,54.4723,-100.0,18.0953,0,32.741,10.8771,0.0,21.731299999999997,7.218200000000001
8.0,4,5,0,53.7988,-100.0,17.8716,0,54.4723,18.0953,0.0,-0.6734999999999971,-0.2237000000000009
10.0,4,5,0,28.7297,-100.0,9.54572,0,53.7988,17.8716,0.0,-25.0691,-8.325880000000002
12.0,4,5,0,27.2609,-100.0,9.05857,0,28.7297,9.54572,0.0,-1.4688000000000017,-0.48714999999999975
14.0,4,5,0,21.5859,-100.0,7.18065,0,27.2609,9.05857,0.0,-5.675000000000001,-1.8779199999999996
16.0,4,5,0,13.7742,-100.0,4.63495,0,21.5859,7.18065,0.0,-7.811699999999998,-2.5457
18.0,4,5,0,48.6668,-100.0,16.1668,0,13.7742,4.63495,0.0,34.8926,11.531849999999999
20.0,4,5,0,17.2,-100.0,5.74096,0,48.6668,16.1668,0.0,-31.466800000000003,-10.425839999999997
22.0,4,5,0,9.8703,-100.0,3.42032,0,17.2,5.74096,0.0,-7.329699999999999,-2.3206400000000005
24.0,4,5,0,48.5691,-100.0,16.1343,0,9.8703,3.42032,0.0,38.6988,12.71398
26.0,4,5,0,21.3445,-100.0,7.10103,0,48.5691,16.1343,0.0,-27.2246,-9.03327
28.0,4,5,0,48.1698,-100.0,16.0017,0,21.3445,7.10103,0.0,26.825300000000002,8.90067
30.0,4,5,0,14.2591,-100.0,4.7899,0,48.1698,16.0017,0.0,-33.910700000000006,-11.2118
32.0,4,5,0,15.2774,-100.0,5.11721,0,14.2591,4.7899,0.0,1.0183,0.32730999999999977
34.0,4,5,0,9.23553,-100.0,3.23051,0,15.2774,5.11721,0.0,-6.041869999999999,-1.8866999999999998
36.0,4,5,0,11.406,-100.0,3.88975,0,9.23553,3.23051,0.0,2.17047,0.6592399999999996
4.0,5,3,0,51.0664,-100.0,16.9639,0,47.0403,15.6265,0.0,4.0261,1.3373999999999988
6.0,5,3,0,64.4893,-100.0,21.4229,0,51.0664,16.9639,0.0,13.422899999999998,4.459
8.0,5,3,0,34.3473,-100.0,11.4104,0,64.4893,21.4229,0.0,-30.142000000000003,-10.0125
10.0,5,3,0,26.0573,-100.0,8.65963,0,34.3473,11.4104,0.0,-8.289999999999996,-2.7507699999999993
12.0,5,3,0,32.3072,-100.0,10.7331,0,26.0573,8.65963,0.0,6.2499,2.0734700000000004
14.0,5,3,0,29.0116,-100.0,9.63925,0,32.3072,10.7331,0.0,-3.2956000000000003,-1.0938499999999998
16.0,5,3,0,21.9438,-100.0,7.29877,0,29.0116,9.63925,0.0,-7.067800000000002,-2.3404800000000003
