Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,BestDonorDistanceM,XhaulConnected,XhaulChannelVariationDb,XhaulRsrpDbm,XhaulState,XhaulDegradationActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,OnboardUavRicAvailable,OnboardUavRicState,BackhaulMode,ControlPath,ActiveUavRic,NormalUeHandoverAllowed,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
4.4,tn-uav-satellite,0,5,1,1451.84,1,0.434841,-64.2447,HEALTHY,0,12.109,7.58839,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
4.4,tn-uav-satellite,1,6,4,629.258,1,-2.28216,-59.6999,HEALTHY,0,12.7335,8.21287,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
4.4,tn-uav-satellite,2,7,2,765.017,1,-0.793916,-59.9085,HEALTHY,0,13.2168,8.69618,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.4,tn-uav-satellite,0,5,2,1906.06,1,1.30698,-65.7369,HEALTHY,0,9.64678,5.12618,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.4,tn-uav-satellite,1,6,4,629.258,1,-3.9027,-61.3205,HEALTHY,0,11.5078,6.98716,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.4,tn-uav-satellite,2,7,2,765.017,1,-0.170944,-59.2856,HEALTHY,0,13.6438,9.12322,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
