episode,return,epsilon,mean_loss,environment_steps,greedy_action,action_counts
28,0.09999999999999946,0.9632666666666667,0.011713110916753066,1160,7,"[1, 1, 2, 2, 1, 6, 0, 2, 4, 0, 2, 3, 0, 2, 0, 2, 2, 1, 0, 0, 1, 2, 2, 0, 4]"
29,1.1499999999999997,0.962,0.011122134376637404,1200,7,"[0, 0, 0, 1, 3, 0, 1, 3, 3, 2, 6, 2, 1, 1, 1, 2, 2, 0, 2, 1, 3, 1, 3, 2, 0]"
30,2.2000000000000006,0.9607333333333333,0.010994275753182592,1240,7,"[2, 3, 0, 2, 4, 0, 1, 4, 1, 1, 2, 1, 2, 1, 1, 1, 3, 0, 5, 0, 0, 2, 2, 0, 2]"
31,1.1499999999999992,0.9594666666666667,0.014195269158517477,1280,7,"[1, 2, 0, 4, 0, 0, 1, 3, 2, 0, 0, 4, 2, 4, 2, 1, 1, 2, 2, 1, 4, 0, 1, 3, 0]"
32,0.09999999999999996,0.9582,0.011716644449916203,1320,7,"[0, 1, 4, 3, 2, 4, 1, 2, 1, 3, 0, 1, 0, 1, 1, 2, 2, 0, 1, 3, 2, 1, 2, 1, 2]"
33,4.300000000000003,0.9569333333333333,0.011743242764350726,1360,7,"[0, 1, 4, 1, 1, 0, 3, 6, 2, 5, 2, 3, 0, 2, 0, 0, 0, 3, 2, 1, 0, 0, 4, 0, 0]"
34,-0.9500000000000008,0.9556666666666667,0.011575035469286376,1400,7,"[0, 2, 1, 1, 6, 2, 2, 1, 1, 1, 2, 1, 4, 1, 1, 2, 1, 2, 1, 0, 0, 2, 1, 4, 1]"
35,0.0999999999999988,0.9544,0.011722851150261704,1440,7,"[1, 2, 0, 2, 1, 3, 1, 2, 0, 2, 0, 1, 1, 2, 1, 1, 2, 3, 6, 0, 1, 1, 2, 4, 1]"
36,4.3,0.9531333333333334,0.011196115895290858,1480,7,"[0, 1, 5, 2, 1, 1, 0, 6, 0, 1, 1, 1, 3, 2, 3, 0, 0, 2, 1, 1, 5, 1, 2, 0, 1]"
37,1.1499999999999995,0.9518666666666666,0.012725763948401437,1520,7,"[2, 3, 0, 0, 1, 3, 2, 3, 1, 1, 1, 0, 0, 3, 0, 0, 1, 1, 2, 1, 4, 2, 2, 6, 1]"
