model,partition,samples,positive_samples,accuracy,precision,recall,f1,inference_ms_per_sample
logistic_regression,validation,2264,166,0.6439929328621908,0.13963963963963963,0.7469879518072289,0.23529411764705882,0.00025150839321836895
logistic_regression,test,1466,126,0.5034106412005457,0.12185929648241206,0.7698412698412699,0.210412147505423,0.0003399242825506288
decision_tree,validation,2264,166,0.6850706713780919,0.14526588845654995,0.6746987951807228,0.2390608324439701,0.00023601811084865063
decision_tree,test,1466,126,0.607094133697135,0.1323529411764706,0.6428571428571429,0.21951219512195122,0.00029179946105548603
random_forest,validation,2264,166,0.8909010600706714,0.2603550295857988,0.26506024096385544,0.2626865671641791,0.019760520316283187
random_forest,test,1466,126,0.8649386084583902,0.2230769230769231,0.23015873015873015,0.2265625,0.030237206682009497
