run,seed_group,time,ueId,serving_rsrp_dbm,best_neighbor_rsrp_dbm,rsrp_margin_db,serving_rsrp_slope_dbps,neighbor_rsrp_slope_dbps,best_neighbor_load_ratio,best_neighbor_is_ntn,ho_within_horizon
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,102.5,11,-116.121,-106.189,9.932000000000002,-1.5715000000000003,9.070500000000003,0.35,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,104.5,11,-121.983,-117.66,4.3230000000000075,-2.9310000000000045,-5.735500000000002,0.35,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,106.5,11,-80.204,-121.666,-41.462,20.889500000000005,-2.003,0.2,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,108.5,11,-102.539,-129.091,-26.552000000000007,-11.167500000000004,-3.7125000000000057,0.25,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,110.5,11,-108.008,-97.5253,10.482699999999994,-2.734499999999997,15.782850000000003,0.1,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,112.5,11,-115.6,-100.842,14.757999999999996,-3.7959999999999994,-1.6583499999999987,0.3,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,114.5,11,-118.956,-100.578,18.378,-1.6780000000000044,0.1319999999999979,0.3,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,116.5,11,-113.287,-129.784,-16.496999999999986,2.8344999999999985,-14.602999999999994,0.35,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,118.5,11,-114.719,-114.605,0.11399999999999011,-0.715999999999994,7.589499999999994,1.0,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,106.5,12,-137.277,-141.717,-4.440000000000026,0.0,0.0,0.1,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,108.5,12,-136.107,-139.648,-3.540999999999997,0.5849999999999937,1.0345000000000084,0.25,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,110.5,12,-135.451,-130.126,5.324999999999989,0.32800000000000296,4.760999999999996,0.25,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,112.5,12,-139.247,-109.04,30.207000000000008,-1.8980000000000103,10.543,0.3,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,114.5,12,-139.292,-136.516,2.7760000000000105,-0.022499999999993747,-13.737999999999992,0.3,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,116.5,12,-136.772,-148.263,-11.491000000000014,1.2600000000000051,-5.873500000000007,0.2,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,118.5,12,-138.556,-129.657,8.899000000000001,-0.8920000000000101,9.302999999999997,0.35,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,54.5,19,-152.999,-151.66,1.3389999999999986,0.0,0.0,0.2,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,56.5,19,-145.976,-126.89,19.086,3.511499999999998,12.384999999999998,0.15,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,58.5,19,-143.68,-148.572,-4.891999999999996,1.1479999999999961,-10.841000000000001,0.2,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,60.5,19,-144.976,-115.735,29.241,-0.6479999999999961,16.4185,0.2,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,62.5,19,-125.33,-122.844,2.486000000000004,9.823,-3.5544999999999973,0.2,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,64.5,19,-145.492,-108.411,37.08099999999999,-10.080999999999996,7.216499999999996,0.2,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,66.5,19,-139.193,-116.244,22.949000000000012,3.149499999999989,-3.916499999999999,0.3,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,68.5,19,-139.529,-147.601,-8.072000000000003,-0.16799999999999216,-15.6785,0.1,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,70.5,19,-144.084,-116.209,27.875,-2.2775000000000034,15.695999999999998,0.35,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,72.5,19,-144.219,-142.6,1.6189999999999998,-0.06749999999999545,-13.195499999999996,0.35,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,74.5,19,-118.957,-108.304,10.652999999999992,12.631,17.147999999999996,0.1,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,76.5,19,-145.629,-150.309,-4.680000000000007,-13.335999999999999,-21.002499999999998,0.1,0.0,1
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,78.5,19,-144.9,-108.352,36.548,0.3644999999999925,20.978499999999997,0.15,0.0,1
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,80.5,19,-142.164,-108.504,33.65999999999998,1.3680000000000092,-0.07600000000000051,0.15,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,82.5,19,-108.417,-116.337,-7.920000000000002,16.873499999999993,-3.916499999999999,0.3,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,84.5,19,-135.688,-131.638,4.049999999999983,-13.635499999999993,-7.650500000000001,0.3,0.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,86.5,19,-137.136,-102.084,35.05199999999999,-0.7240000000000038,14.777000000000001,0.7,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,88.5,19,-143.072,-133.613,9.459000000000003,-2.9680000000000035,-15.764499999999998,0.5,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,90.5,19,-140.566,-132.487,8.079000000000008,1.2530000000000001,0.5630000000000024,0.7,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,92.5,19,-115.344,-128.366,-13.02200000000002,12.611000000000004,2.0604999999999905,0.7,1.0,0
tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,94.5,19,-117.735,-127.993,-10.257999999999996,-1.1955000000000027,0.18650000000000944,0.7,1.0,0
