Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,XhaulRsrpDbm,XhaulState,XhaulDegradationActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
0.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,11.2683,6.7477,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
0.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,13.7407,9.22012,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
1.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,9.34243,4.82183,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
1.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,7.4259,2.9053,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
2.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,14.9188,10.3982,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
2.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,11.2488,6.72816,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
3.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,10.6738,6.15315,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
3.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,11.0854,6.56484,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
4.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,9.06051,4.53991,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
4.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,12.2799,7.75934,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
5.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,11.9793,7.45868,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
5.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,12.7823,10.8468,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
6.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,10.8474,6.32682,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
6.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,14.7238,10.2032,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
7.5,tn-uav-satellite,0,5,4,-60.8586,HEALTHY,0,10.4148,5.89422,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
7.5,tn-uav-satellite,1,6,1,-60.405,HEALTHY,0,14.7152,10.1946,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
8.5,tn-uav-satellite,0,5,4,-60.8275,HEALTHY,0,14.268,9.7474,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
