Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,XhaulRsrpDbm,XhaulState,XhaulDegradationActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
0.5,tn-uav-satellite,0,2,1,-62.0244,HEALTHY,0,8.21301,3.69241,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
1.5,tn-uav-satellite,0,2,1,-62.0244,HEALTHY,0,10.821,6.30044,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
2.5,tn-uav-satellite,0,2,1,-62.0244,HEALTHY,0,5.98617,1.46557,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
3.5,tn-uav-satellite,0,2,1,-62.0244,HEALTHY,0,11.6895,7.16891,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
4.5,tn-uav-satellite,0,2,1,-62.0244,HEALTHY,0,12.1134,7.59283,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
5.5,tn-uav-satellite,0,2,1,-62.0244,HEALTHY,0,12.5564,8.0358,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
6.5,tn-uav-satellite,0,2,1,-62.0244,HEALTHY,0,11.3714,6.85081,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
7.5,tn-uav-satellite,0,2,1,-61.9857,HEALTHY,0,9.63734,5.11674,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
8.5,tn-uav-satellite,0,2,1,-61.9211,HEALTHY,0,14.5728,10.0522,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
9.5,tn-uav-satellite,0,2,1,-61.8564,HEALTHY,0,12.3277,7.80711,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
