Time,UE,Delay,Jitter,Throughput,PDR,PLR
4,72,0.145337,0.0329416,0.281152,55.4217,44.5783
4,73,0.108413,0.0274982,0.421728,64.486,35.514
4,74,0.0593571,0.0251337,0.311712,68.9189,31.0811
6,0,0.1336,0.0268928,0.36672,62.5,37.5
6,1,0.110179,0.0323364,0.330048,58.6957,41.3043
6,2,0.135382,0.03183,0.391168,71.9101,28.0899
6,3,0.170609,0.0346213,0.097792,18.1818,81.8182
6,4,0.119026,0.0346483,0.220032,60,40
6,5,0.15331,0.0330541,0.177248,24.7863,75.2137
6,6,0.0963737,0.0251435,0.323936,70.6667,29.3333
6,7,0.0891169,0.0234773,0.440064,82.7586,17.2414
6,8,0.124982,0.0321765,0.311712,47.6636,52.3364
6,9,0.0253382,0.00686127,0.507296,100,0
6,10,0.11483,0.0263705,0.421728,75.8242,24.1758
6,11,0.109354,0.030064,0.342272,62.2222,37.7778
6,12,0.00391727,0.000174658,0.48896,100,0
6,13,0.170761,0.0501011,0.165024,35.5263,64.4737
6,14,0.136721,0.0307115,0.27504,57.6923,42.3077
6,15,0.119639,0.0288298,0.378944,71.2644,28.7356
6,16,0.120024,0.0332742,0.33616,70.5128,29.4872
6,17,0.063091,0.018155,0.476736,90.6977,9.30233
6,18,0.165651,0.0259676,0.177248,39.726,60.274
6,19,0.126854,0.030816,0.232256,64.4068,35.5932
6,20,0.137931,0.0343644,0.293376,47.5248,52.4752
6,21,0.158193,0.0276935,0.226144,51.3889,48.6111
6,22,0.13584,0.0299934,0.171136,43.0769,56.9231
6,23,0.130807,0.0302578,0.12224,22.2222,77.7778
6,24,0.139617,0.0316061,0.103904,26.1538,73.8462
6,25,0.0132632,0.00439509,0.653984,97.2727,2.72727
6,26,0.130585,0.0395605,0.207808,34.6939,65.3061
6,27,0.167622,0.0185566,0.079456,15.8537,84.1463
6,28,0.155728,0.0396068,0.177248,39.726,60.274
6,29,0.157622,0.0268637,0.158912,28.2609,71.7391
6,30,0.126066,0.0329696,0.299488,55.0562,44.9438
6,31,0.00391527,0.000256338,0.409504,97.1014,2.89855
6,32,0.142385,0.0325886,0.287264,54.023,45.977
6,33,0.129642,0.0344709,0.27504,46.875,53.125
6,34,0.0864462,0.022688,0.372832,81.3333,18.6667
6,35,0.128212,0.0325981,0.299488,61.25,38.75
6,36,0.149537,0.0377011,0.177248,38.1579,61.8421
6,37,0.093316,0.0260196,0.287264,77.0492,22.9508
6,38,0.128662,0.0354818,0.134464,26.1905,73.8095
6,39,0.141135,0.0292225,0.158912,27.957,72.043
6,40,0.149124,0.0318489,0.220032,50.7042,49.2958
6,41,0.145456,0.0329838,0.250592,41,59
6,42,0.0213187,0.00433667,0.464512,100,0
6,43,0.0434376,0.0136253,0.311712,94.4444,5.55556
6,44,0.120296,0.0340919,0.262816,57.3333,42.6667
6,45,0.0708747,0.0170337,0.470624,81.9149,18.0851
6,46,0.166864,0.030475,0.134464,24.7191,75.2809
6,47,0.143646,0.0389891,0.195584,47.7612,52.2388
6,48,0.094881,0.021709,0.421728,79.3103,20.6897
6,49,0.121986,0.0262393,0.372832,71.7647,28.2353
6,50,0.125281,0.0332387,0.177248,39.726,60.274
6,51,0.128259,0.0313433,0.24448,51.2821,48.7179
6,52,0.128025,0.0331132,0.134464,35.4839,64.5161
6,53,0.141057,0.0398521,0.12224,20.8333,79.1667
6,54,0.14106,0.0321959,0.250592,75.9259,24.0741
6,55,0.136599,0.0302164,0.403392,61.6822,38.3178
6,56,0.00986022,0.00281836,0.543968,98.8889,1.11111
6,57,0.00674695,0.0015726,0.531744,100,0
6,58,0.119335,0.0447417,0.067232,14.1026,85.8974
6,59,0.135044,0.0329673,0.110016,24,76
6,60,0.13644,0.0317704,0.311712,56.044,43.956
6,61,0.135621,0.0311262,0.24448,57.1429,42.8571
6,62,0.0135968,0.00255277,0.495072,97.5904,2.40964
6,63,0.0221551,0.00688064,0.4584,100,0
6,64,0.150524,0.0321138,0.220032,46.1538,53.8462
6,65,0.113881,0.031454,0.330048,56.25,43.75
6,66,0.0303111,0.0113394,0.262816,87.7551,12.2449
6,67,0.088784,0.0252108,0.317824,86.6667,13.3333
6,68,0.0949367,0.0289516,0.42784,83.3333,16.6667
6,69,0.00369015,0.000343605,0.495072,100,0
6,70,0.130582,0.0285402,0.354496,68.2353,31.7647
6,71,0.134967,0.03004,0.201696,43.4211,56.5789
6,72,0.142231,0.0310684,0.146688,39.3443,60.6557
6,73,0.110733,0.0299469,0.360608,72.8395,27.1605
6,74,0.0912789,0.0263964,0.543968,73.5537,26.4463
8,0,0.129145,0.028877,0.311712,50.495,49.505
8,1,0.11866,0.0315262,0.287264,81.0345,18.9655
8,2,0.13269,0.0323785,0.232256,43.6782,56.3218
8,3,0.157463,0.0385152,0.097792,19.7531,80.2469
8,4,0.124272,0.0328009,0.281152,55.4217,44.5783
8,5,0.148538,0.0311691,0.250592,54.6667,45.3333
8,6,0.110308,0.0261468,0.360608,83.0986,16.9014
8,7,0.0962199,0.023776,0.415616,81.9277,18.0723
8,8,0.123255,0.0298295,0.27504,54.2169,45.7831
8,9,0.0188364,0.0048747,0.42784,98.5915,1.40845
8,10,0.114433,0.027957,0.446176,62.3932,37.6068
8,11,0.109128,0.0317797,0.378944,71.2644,28.7356
8,12,0.00400762,0.000274958,0.647872,100,0
8,13,0.173958,0.0479371,0.171136,36.8421,63.1579
8,14,0.136703,0.0327051,0.268928,60.274,39.726
8,15,0.116917,0.0266255,0.421728,75.8242,24.1758
8,16,0.123135,0.0335732,0.3056,67.5676,32.4324
8,17,0.0657685,0.0176513,0.507296,91.2088,8.79121
8,18,0.162371,0.0290065,0.189472,36.0465,63.9535
8,19,0.131322,0.0295991,0.385056,70,30
8,20,0.136661,0.0347135,0.220032,64.2857,35.7143
8,21,0.154801,0.0268133,0.220032,48,52
8,22,0.136837,0.0310763,0.158912,29.8851,70.1149
8,23,0.132425,0.0327388,0.128352,33.871,66.129
8,24,0.140723,0.0310772,0.226144,41.573,58.427
8,25,0.0193324,0.00720267,0.433952,91.0256,8.97436
8,26,0.136701,0.0360264,0.201696,49.2537,50.7463
8,27,0.167368,0.0212318,0.048896,10.2564,89.7436
