sim_time_s,pdet,rmse_m,energy_j,jscore,uav0_energy_j,uav1_energy_j,uav2_energy_j,uav3_energy_j,uav0_eprop_j,uav1_eprop_j,uav2_eprop_j,uav3_eprop_j,uav0_erf_j,uav1_erf_j,uav2_erf_j,uav3_erf_j,uav0_eproc_j,uav1_eproc_j,uav2_eproc_j,uav3_eproc_j,avg_throughput_mbps,avg_delay_ms,avg_loss_pct,survSenseDt,patSenseDt,rapidSenseDt,stratSenseDt,survVmax,patVmax,rapidVmax,stratVmax,survZmin,survZmax,patZmin,patZmax,rapidZmin,rapidZmax,stratZmin,stratZmax,survDt,patDt,rapidDt,stratDt
10,0.536161,7.44291,10134.9,1.95335,2314.09,2736.88,2548.83,2535.11,2311.93,2734.64,2546.64,2533.05,1.79574,1.79574,1.79574,1.79574,0.365,0.44,0.4,0.265,0.0009408,11.4028,0,1,1,1,1,15,25,35,22,60,80,80,95,95,110,120,130,2,1.5,1,1.2
20,0.728354,7.81127,21633.6,3.03325,4895.47,5880.11,5439.44,5418.58,4890.78,5875.27,5434.67,5414.22,3.791,3.791,3.791,3.791,0.895,1.05,0.975,0.565,0.0012896,11.3092,0,1,0.9,1,1,15,25,35,22,60,80,80,95,95,110,120,130,2,1.5,1,1.2
30,0.860976,9.3252,32982.4,3.4522,7457.13,8986.56,8278.88,8259.83,7449.95,8979.24,8271.31,8253.13,5.78626,5.78626,5.78626,5.78626,1.39,1.54,1.79,0.91,0.0013728,11.3648,0,1,0.9,1,1,15,25,35,22,60,80,80,95,95,110,120,130,2,1.5,1,1.2
