Time,RecordType,UavIndex,UavCellId,CentroidIndex,CurrentEastM,CurrentNorthM,TargetEastM,TargetNorthM,DistanceToTargetM,ReachThresholdM,HasMovementAssignment,Arrived,NumMovementUes,NumCentroids
12,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
12,TRACK,1,6,-1,12.9208,29.9315,12.9208,29.9315,0,1,0,0,0,0
12,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
13,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
13,TRACK,1,6,-1,12.9208,29.9315,12.9208,29.9315,0,1,0,0,0,0
13,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
14,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
14,TRACK,1,6,-1,12.9208,29.9315,12.9208,29.9315,0,1,0,0,0,0
14,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
15,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
15,TRACK,1,6,-1,12.9208,29.9315,12.9208,29.9315,0,1,0,0,0,0
15,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
16,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
16,TRACK,1,6,-1,12.9208,29.9315,12.9208,29.9315,0,1,0,0,0,0
16,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
17,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
17,TRACK,1,6,-1,12.9208,29.9315,12.9208,29.9315,0,1,0,0,0,0
17,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
18,ASSIGN,0,5,1,13.8832,-85.7669,376.182,-345.055,445.523,1,1,0,2,2
18,ASSIGN,1,6,0,12.9208,29.9315,-316.16,354.662,462.325,1,1,0,2,2
19,ASSIGN,0,5,1,26.0822,-94.4967,353.054,-319.405,396.855,1,1,0,5,3
19,ASSIGN,1,6,0,2.24442,40.4673,-293.605,363.588,438.103,1,1,0,5,3
19,ASSIGN,2,7,2,24.4462,-62.1946,-333.319,342.971,540.514,1,1,0,5,3
20,ASSIGN,0,5,1,38.4415,-102.998,337.406,-381.991,408.922,1,1,0,5,3
20,ASSIGN,1,6,2,-7.88416,51.5305,-318.856,351.584,432.129,1,1,0,5,3
20,ASSIGN,2,7,0,14.5186,-50.9507,379.065,343.107,536.82,1,1,0,5,3
21,ASSIGN,0,5,0,49.4086,-113.232,339.679,-385.282,397.83,1,1,0,4,3
21,ASSIGN,1,6,2,-18.6778,61.9459,-331.964,344.935,422.174,1,1,0,4,3
21,ASSIGN,2,7,1,24.7057,-39.9399,380.55,346.821,525.556,1,1,0,4,3
22,ASSIGN,0,5,2,60.3541,-123.489,341.951,-388.574,386.739,1,1,0,4,3
22,ASSIGN,1,6,0,-29.8087,72.0006,309.085,413.836,481.353,1,1,0,4,3
22,ASSIGN,2,7,1,34.863,-28.9012,396.923,349.214,523.506,1,1,0,4,3
23,ASSIGN,0,5,1,71.2769,-133.771,344.224,-391.866,375.65,1,1,0,2,2
23,ASSIGN,1,6,0,-19.2471,82.653,408.516,350.157,504.519,1,1,0,2,2
24,ASSIGN,0,5,0,82.1769,-144.077,323.573,-370.855,331.21,1,1,0,6,3
24,ASSIGN,1,6,2,-6.52898,90.6062,356.341,330.014,434.731,1,1,0,6,3
24,ASSIGN,2,7,1,45.238,-18.0671,-380.905,336.483,554.35,1,1,0,6,3
25,ASSIGN,0,5,0,93.1105,-154.347,322.023,-374.542,317.627,1,1,0,6,3
25,ASSIGN,1,6,2,5.9918,98.8668,355.537,330.123,419.12,1,1,0,6,3
25,ASSIGN,2,7,1,33.7076,-8.47343,-382.087,339.475,542.175,1,1,0,6,3
26,ASSIGN,0,5,0,103.922,-164.746,320.473,-378.229,304.088,1,1,0,7,3
26,ASSIGN,1,6,2,18.5018,107.143,354.733,330.232,403.51,1,1,0,7,3
26,ASSIGN,2,7,1,22.2047,1.15304,-356.581,364.347,524.775,1,1,0,7,3
27,ASSIGN,0,5,1,114.604,-175.277,365.575,-22.5635,293.782,1,1,0,8,3
27,ASSIGN,1,6,2,31.0011,115.436,-368.786,378.954,478.823,1,1,0,8,3
27,ASSIGN,2,7,0,11.3781,11.5345,-409.216,316.234,519.366,1,1,0,8,3
28,ASSIGN,0,5,1,127.419,-167.479,342.849,-18.1563,262.121,1,1,0,12,3
28,ASSIGN,1,6,2,18.4779,123.692,-230.437,338.346,328.687,1,1,0,12,3
28,ASSIGN,2,7,0,-0.768322,20.3346,-401.262,332.227,507.614,1,1,0,12,3
29,ASSIGN,0,5,2,139.748,-158.934,307.173,-365.879,266.191,1,1,0,10,3
29,ASSIGN,1,6,1,7.11853,133.487,397.359,327.433,435.778,1,1,0,10,3
29,ASSIGN,2,7,0,-12.6025,29.551,-376.813,345.268,482.002,1,1,0,10,3
30,ASSIGN,0,5,2,149.182,-170.596,375.801,212.72,445.294,1,1,0,9,3
30,ASSIGN,1,6,1,20.5519,140.163,-378.963,385.313,468.733,1,1,0,9,3
30,ASSIGN,2,7,0,-23.9368,39.3762,-414.436,315.367,478.184,1,1,0,9,3
31,ASSIGN,0,5,1,156.817,-157.683,373.212,210.686,427.227,1,1,0,9,3
31,ASSIGN,1,6,2,7.76801,148.008,-376.491,356.932,437.384,1,1,0,9,3
31,ASSIGN,2,7,0,-36.1861,48.0336,-434.673,308.639,476.138,1,1,0,9,3
32,ASSIGN,0,5,2,164.416,-144.75,369.9,130.549,343.531,1,1,0,6,3
32,ASSIGN,1,6,1,-5.40943,155.173,-390.359,360.424,436.25,1,1,0,6,3
32,ASSIGN,2,7,0,-48.7391,56.2436,-438.28,306.912,463.225,1,1,0,6,3
33,ASSIGN,0,5,2,173.389,-132.729,368.843,133.14,329.984,1,1,0,7,3
33,ASSIGN,1,6,1,-18.6455,162.231,-391.541,363.416,423.706,1,1,0,7,3
33,ASSIGN,2,7,0,-61.352,64.3607,-434.262,303.163,442.819,1,1,0,7,3
34,ASSIGN,0,5,1,182.275,-120.644,410.375,345.832,519.258,1,1,0,7,3
34,ASSIGN,1,6,2,-31.8456,169.353,-369.554,346.741,381.463,1,1,0,7,3
34,ASSIGN,2,7,0,-73.9828,72.4499,-434.298,303.847,428.219,1,1,0,7,3
35,ASSIGN,0,5,1,188.864,-107.168,409.318,347.614,505.398,1,1,0,7,3
35,ASSIGN,1,6,2,-45.1248,176.328,-369.476,347.722,366.851,1,1,0,7,3
35,ASSIGN,2,7,0,-86.6041,80.5554,-433.561,304.622,413.02,1,1,0,7,3
36,ASSIGN,0,5,0,195.408,-93.6706,282.544,-340.028,261.313,1,1,0,5,3
36,ASSIGN,1,6,1,-58.3859,183.336,-395.086,372.394,386.147,1,1,0,5,3
36,ASSIGN,2,7,2,-99.2038,88.6931,-429.736,305.766,395.44,1,1,0,5,3
37,ASSIGN,0,5,2,200.41,-107.812,282.399,-336.031,242.499,1,1,0,6,3
37,ASSIGN,1,6,0,-71.4641,190.68,-410.743,355.753,377.305,1,1,0,6,3
37,ASSIGN,2,7,1,-111.741,96.9272,299.952,355.046,485.919,1,1,0,6,3
38,ASSIGN,0,5,2,205.482,-121.929,282.254,-332.033,223.692,1,1,0,7,3
38,ASSIGN,1,6,0,-84.9513,197.243,-385.619,333.549,330.122,1,1,0,7,3
38,ASSIGN,2,7,1,-99.0316,104.895,283.815,322.992,440.611,1,1,0,7,3
39,ASSIGN,0,5,2,210.631,-136.018,264.614,304.127,443.443,1,1,0,7,3
