method,seed,return,steps,pdet,rmse_m,throughput_mbps,delay_ms,loss_pct,final_window_energy_j
static,9002,2.6033444968,2,0.5609375,9.482855452,0.0009184,11.50773923,0,11239.25686
random,9002,2.7902678968,2,0.5807926829,8.956514949,0.00096,11.39624848,0,11239.32186
rule,9002,2.721539611,2,0.5664634146,9.176631903,0.000944,11.57814698,0,11239.29686
dqn,9002,2.5076388494,2,0.5654605263,9.486733536,0.00088,11.92628541,0,11239.19686
