method,seed,return,steps,pdet,rmse_m,throughput_mbps,delay_ms,loss_pct,final_window_energy_j
static,9001,6.808265428,2,0.910625,8.571490936,0.0011936,11.82019082,0,11431.95523
random,9001,6.819136078,2,0.910625,8.414202979,0.0011936,11.82019085,0,11379.80025
rule,9001,7.079088916,2,0.9076219512,8.354147824,0.0012224,11.62655664,0,11432.00023
dqn,9001,6.906707415,2,0.9084375,8.603946486,0.0012192,11.8450735,0,11319.57408
