method,metric,n,mean,std,ci95_low,ci95_high
dqn,episode_return,3,41.35906926959999,5.705995981483464,34.90212697042737,47.816011568772616
dqn,episode_pdet,3,0.9358153333333333,0.003271643216081702,0.9321131205139989,0.9395175461526678
dqn,episode_rmse_m,3,37.86273333333333,0.5340116134817058,37.258442305696995,38.46702436096967
dqn,episode_throughput_mbps,3,0.0011602603333333331,0.00016285823927678121,0.0009759688866923849,0.0013445517799742814
dqn,episode_delay_ms,3,11.683333333333332,0.3885719023981706,11.24362283213308,12.123043834533584
dqn,episode_loss_pct,3,0.0,0.0,0.0,0.0
dqn,episode_total_energy_j,3,341102.3333333333,11709.166594311198,327852.1639823183,354352.5026843483
dqn,mission_duration_s,3,300.0,0.0,300.0,300.0
dqn,mission_completed,3,1.0,0.0,1.0,1.0
dqn,battery_terminated,3,0.0,0.0,0.0,0.0
dqn,effective_control_action_rate,3,0.42528735632183906,0.019908629972056068,0.4027586206896551,0.447816091954023
random,episode_return,3,30.000289102400004,1.264843758886152,28.568983648435555,31.431594556364452
random,episode_pdet,3,0.9179693333333333,0.016586447308972886,0.8992000012886127,0.936738665378054
random,episode_rmse_m,3,36.0319,3.323538149322194,32.27096253546061,39.79283746453939
random,episode_throughput_mbps,3,0.0009281573333333334,5.0710129740845e-05,0.0008707734195025586,0.0009855412471641081
random,episode_delay_ms,3,11.950800000000001,0.16623829282087854,11.762683662704875,12.138916337295127
random,episode_loss_pct,3,0.0,0.0,0.0,0.0
random,episode_total_energy_j,3,340763.0,11529.400981837694,327716.2545895001,353809.7454104999
random,mission_duration_s,3,300.0,0.0,300.0,300.0
random,mission_completed,3,1.0,0.0,1.0,1.0
random,battery_terminated,3,0.0,0.0,0.0,0.0
random,effective_control_action_rate,3,0.8635262141009267,0.06249432844638157,0.7928072240922939,0.9342452041095595
rule,episode_return,3,41.118822387933335,5.6993867869591,34.66935909642673,47.56828567943994
rule,episode_pdet,3,0.9295906666666668,0.0126590973743523,0.915265549444178,0.9439157838891555
rule,episode_rmse_m,3,37.65546666666666,1.1673046103452718,36.33453714988876,38.976396183444564
rule,episode_throughput_mbps,3,0.00117533,0.0001482198087301424,0.0010076034969196182,0.0013430565030803818
rule,episode_delay_ms,3,12.000833333333333,0.16610037126187724,11.812873068974671,12.188793597691994
rule,episode_loss_pct,3,0.0,0.0,0.0,0.0
rule,episode_total_energy_j,3,341245.0,12096.804660735826,327556.1768826681,354933.8231173319
rule,mission_duration_s,3,300.0,0.0,300.0,300.0
rule,mission_completed,3,1.0,0.0,1.0,1.0
rule,battery_terminated,3,0.0,0.0,0.0,0.0
rule,effective_control_action_rate,3,0.4315569487983281,0.07832809752104562,0.3429203623481097,0.5201935352485465
static,episode_return,3,28.950205803633327,3.1897321956650204,25.340684029685697,32.55972757758096
static,episode_pdet,3,0.9175996666666667,0.014146541391214091,0.9015913480852402,0.9336079852480932
static,episode_rmse_m,3,37.89233333333333,1.830686336687237,35.82071672472857,39.9639499419381
static,episode_throughput_mbps,3,0.00089427,5.81033561853358e-05,0.0008285198628645283,0.0009600201371354716
static,episode_delay_ms,3,11.817300000000001,0.1951270611678449,11.596492943868787,12.038107056131215
static,episode_loss_pct,3,0.0,0.0,0.0,0.0
static,episode_total_energy_j,3,341230.6666666667,12097.832629580116,327540.6802930804,354920.653040253
static,mission_duration_s,3,300.0,0.0,300.0,300.0
static,mission_completed,3,1.0,0.0,1.0,1.0
static,battery_terminated,3,0.0,0.0,0.0,0.0
static,effective_control_action_rate,3,,,,
