Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,BestDonorDistanceM,XhaulConnected,XhaulChannelVariationDb,XhaulRsrpDbm,XhaulState,XhaulDegradationActive,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,UavSwitchingXappAvailable,UavSwitchingXappState,BackhaulMode,RicControlState,ActiveUavRic,NormalUeHandoverAllowed,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
64.5,tn-uav,1,6,0,-1,0,0,-1e+09,UNREACHABLE,0,1,-999,-999,0,1,ACTIVE,NO_BACKHAUL_AVAILABLE,NEAR_RT_RIC_SWITCHING_NO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,0,0.1,2,2,AUTONOMOUS_LOCAL_ISLAND
64.5,tn-uav,2,7,0,-1,0,0,-1e+09,UNREACHABLE,0,1,-999,-999,0,1,ACTIVE,NO_BACKHAUL_AVAILABLE,NEAR_RT_RIC_SWITCHING_NO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,0,0.1,2,2,AUTONOMOUS_LOCAL_ISLAND
66.5,tn-uav,0,5,0,-1,0,0,-1e+09,UNREACHABLE,0,1,-999,-999,0,1,ACTIVE,NO_BACKHAUL_AVAILABLE,NEAR_RT_RIC_SWITCHING_NO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,0,0.1,2,2,AUTONOMOUS_LOCAL_ISLAND
66.5,tn-uav,1,6,0,-1,0,0,-1e+09,UNREACHABLE,0,1,-999,-999,0,1,ACTIVE,NO_BACKHAUL_AVAILABLE,NEAR_RT_RIC_SWITCHING_NO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,0,0.1,2,2,AUTONOMOUS_LOCAL_ISLAND
66.5,tn-uav,2,7,0,-1,0,0,-1e+09,UNREACHABLE,0,1,-999,-999,0,1,ACTIVE,NO_BACKHAUL_AVAILABLE,NEAR_RT_RIC_SWITCHING_NO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,0,0.1,2,2,AUTONOMOUS_LOCAL_ISLAND
68.5,tn-uav,0,5,0,-1,0,0,-1e+09,UNREACHABLE,0,1,-999,-999,0,1,ACTIVE,NO_BACKHAUL_AVAILABLE,NEAR_RT_RIC_SWITCHING_NO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,0,0.1,2,2,AUTONOMOUS_LOCAL_ISLAND
68.5,tn-uav,1,6,0,-1,0,0,-1e+09,UNREACHABLE,0,1,-999,-999,0,1,ACTIVE,NO_BACKHAUL_AVAILABLE,NEAR_RT_RIC_SWITCHING_NO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,0,0.1,2,2,AUTONOMOUS_LOCAL_ISLAND
68.5,tn-uav,2,7,0,-1,0,0,-1e+09,UNREACHABLE,0,1,-999,-999,0,1,ACTIVE,NO_BACKHAUL_AVAILABLE,NEAR_RT_RIC_SWITCHING_NO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,0,0.1,2,2,AUTONOMOUS_LOCAL_ISLAND
70.5,tn-uav,0,5,0,-1,0,0,-1e+09,UNREACHABLE,0,1,-999,-999,0,1,ACTIVE,NO_BACKHAUL_AVAILABLE,NEAR_RT_RIC_SWITCHING_NO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,0,0.1,2,2,AUTONOMOUS_LOCAL_ISLAND
70.5,tn-uav,1,6,0,-1,0,0,-1e+09,UNREACHABLE,0,1,-999,-999,0,1,ACTIVE,NO_BACKHAUL_AVAILABLE,NEAR_RT_RIC_SWITCHING_NO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,0,0.1,2,2,AUTONOMOUS_LOCAL_ISLAND
